lattice_type,representation,variant,L,Tc,Tc_std,chi_c,chi_c_std,N_boot
square,cell,ec,64,2.305935312,0.0005923209685,0.6076003567,0.004839456863,200
square,cell,ec,96,2.2929044,0.0004094006826,1.155310573,0.009090846639,200
square,cell,ec,128,2.286723871,0.000317512548,1.841729137,0.01682567538,200
square,cell,ec,192,2.280317598,0.0002333804249,3.77904285,0.04030192278,200
square,cell,ec,256,2.277969736,0.0002652710701,5.93250739,0.06473263494,200
square,cell,ec,384,2.274603681,0.0001880375552,12.11749868,0.2064900342,200
square,cell,ec,512,2.27310828,0.0001697211382,20.09086478,0.3786870097,200
square,cell,ec,768,2.271897437,0.0001214056256,40.32210712,0.9511855519,200
square,cell,ec,1024,2.271159992,0.0001299347651,67.05987506,1.640784982,200
square,cell,ec,1536,2.270448986,0.0001332949817,130.65395,4.044686083,200
square,cell,ec,2048,2.270014743,9.91347542e-05,219.412658,8.345300984,200
square,cell,ec,3072,2.269913758,6.44227408e-05,444.7942201,17.99460517,200
