lattice_type,representation,variant,L,Tc,Tc_std,chi_c,chi_c_std,N_boot
square,cell,m,64,2.300946486,0.0005653453426,71.96356155,0.5885405395,200
square,cell,m,96,2.290626613,0.0003893461948,143.3294327,1.136029757,200
square,cell,m,128,2.285393383,0.0003035967954,233.9906583,2.176477225,200
square,cell,m,192,2.279860593,0.0002385529526,490.583005,5.12291029,200
square,cell,m,256,2.277584881,0.0002688411185,780.6111945,8.642866789,200
square,cell,m,384,2.274462577,0.0001858254306,1613.202706,27.62554297,200
square,cell,m,512,2.273015183,0.0001708959226,2686.983768,50.72396162,200
square,cell,m,768,2.27186303,0.0001213862048,5416.597261,128.4607576,200
square,cell,m,1024,2.271133415,0.0001293522447,9062.827681,223.0891899,200
square,cell,m,1536,2.27043633,0.0001309600636,17688.94017,550.3099351,200
square,cell,m,2048,2.270008237,9.786154515e-05,29729.89438,1132.251661,200
square,cell,m,3072,2.269912657,6.508428464e-05,60249.30366,2431.771102,200
