lattice_type,representation,temperature,L,n_samples,M_unique,M_entropy,M_Keff,EC_unique,EC_entropy,EC_Keff,unique_ratio_EC_over_M,Keff_ratio_EC_over_M,M_unique_fraction,EC_unique_fraction,M_Keff_fraction,EC_Keff_fraction
square,vertex,2.269,64,200,190,5.229002648,186.6065983,155,4.949909276,141.1621565,0.8157894737,0.7564692662,0.95,0.775,0.9330329915,0.7058107824
square,vertex,2.269,96,200,185,5.194345289,180.2500925,168,5.056497593,157.0395357,0.9081081081,0.8712313736,0.925,0.84,0.9012504626,0.7851976785
square,vertex,2.269,128,200,197,5.277522951,195.8840595,184,5.184797577,178.5373061,0.9340101523,0.9114437719,0.985,0.92,0.9794202976,0.8926865303
square,vertex,2.269,192,200,200,5.298317367,200,189,5.219454936,184.8334106,0.945,0.9241670528,1,0.945,1,0.9241670528
square,vertex,2.269,256,200,199,5.291385895,198.6184991,196,5.270591479,194.5309895,0.9849246231,0.9794202976,0.995,0.98,0.9930924954,0.9726549474
square,vertex,2.269,384,200,200,5.298317367,200,198,5.284454423,197.2465409,0.99,0.9862327045,1,0.99,1,0.9862327045
square,vertex,2.269,512,200,200,5.298317367,200,196,5.270591479,194.5309895,0.98,0.9726549474,1,0.98,1,0.9726549474
square,vertex,2.269,768,200,200,5.298317367,200,200,5.298317367,200,1,1,1,1,1,1
square,vertex,2.269,1024,200,199,5.291385895,198.6184991,200,5.298317367,200,1.005025126,1.00695555,0.995,1,0.9930924954,1
square,vertex,2.269,1536,200,200,5.298317367,200,200,5.298317367,200,1,1,1,1,1,1
square,vertex,2.269,2048,200,200,5.298317367,200,199,5.291385895,198.6184991,0.995,0.9930924954,1,0.995,1,0.9930924954
square,vertex,2.269,3072,200,200,5.298317367,200,200,5.298317367,200,1,1,1,1,1,1
