lattice_type,representation,variant,L,bootstrap,Tc,chi_c
square,vertex,ec,64,0,2.305911689,0.6084839344
square,vertex,ec,64,1,2.306344016,0.6012304879
square,vertex,ec,64,2,2.30633396,0.6059691195
square,vertex,ec,64,3,2.305519718,0.5972280945
square,vertex,ec,64,4,2.305700611,0.6057508166
square,vertex,ec,64,5,2.305972004,0.613045156
square,vertex,ec,64,6,2.3070884,0.6009459182
square,vertex,ec,64,7,2.306776505,0.6100103382
square,vertex,ec,64,8,2.30641441,0.6080658762
square,vertex,ec,64,9,2.305228339,0.6106711267
square,vertex,ec,64,10,2.305821222,0.6063041907
square,vertex,ec,64,11,2.306112751,0.6053240673
square,vertex,ec,64,12,2.305459427,0.5983289751
square,vertex,ec,64,13,2.307038089,0.6077292502
square,vertex,ec,64,14,2.307128651,0.6013212507
square,vertex,ec,64,15,2.306786565,0.6091913289
square,vertex,ec,64,16,2.305348901,0.617925702
square,vertex,ec,64,17,2.305831274,0.6048755339
square,vertex,ec,64,18,2.305409187,0.6129491259
square,vertex,ec,64,19,2.305620211,0.6096326335
square,vertex,ec,64,20,2.305801119,0.6167068089
square,vertex,ec,64,21,2.305358948,0.6068300571
square,vertex,ec,64,22,2.306183131,0.6120934231
square,vertex,ec,64,23,2.304675927,0.6104590743
square,vertex,ec,64,24,2.30641441,0.5983831921
square,vertex,ec,64,25,2.305569963,0.6048067486
square,vertex,ec,64,26,2.305921741,0.6096599299
square,vertex,ec,64,27,2.305519718,0.6010761483
square,vertex,ec,64,28,2.306464694,0.6003363323
square,vertex,ec,64,29,2.307732579,0.61835074
square,vertex,ec,64,30,2.305338854,0.6140378073
square,vertex,ec,64,31,2.306716148,0.6162253345
square,vertex,ec,64,32,2.305750864,0.6049391219
square,vertex,ec,64,33,2.306032322,0.6058148425
square,vertex,ec,64,34,2.3050877,0.6124298885
square,vertex,ec,64,35,2.305600112,0.5997668389
square,vertex,ec,64,36,2.305941846,0.6042546868
square,vertex,ec,64,37,2.305961951,0.6050341574
square,vertex,ec,64,38,2.304876773,0.6120290028
square,vertex,ec,64,39,2.306867046,0.6024851417
square,vertex,ec,64,40,2.305982056,0.6113826317
square,vertex,ec,64,41,2.305238386,0.617143612
square,vertex,ec,64,42,2.305338854,0.6083457278
square,vertex,ec,64,43,2.305851377,0.6125436427
square,vertex,ec,64,44,2.305972004,0.6070252725
square,vertex,ec,64,45,2.304746219,0.608978079
square,vertex,ec,64,46,2.30622335,0.6053654604
square,vertex,ec,64,47,2.306726207,0.6052845846
square,vertex,ec,64,48,2.305630261,0.6097369443
square,vertex,ec,64,49,2.305549865,0.6093877323
square,vertex,ec,64,50,2.305479524,0.6104180429
square,vertex,ec,64,51,2.306434523,0.611524564
square,vertex,ec,64,52,2.30633396,0.605906195
square,vertex,ec,64,53,2.306494866,0.609034136
square,vertex,ec,64,54,2.30497721,0.6062224728
square,vertex,ec,64,55,2.305720712,0.6050441542
square,vertex,ec,64,56,2.305951898,0.5993516644
square,vertex,ec,64,57,2.30651498,0.6096097386
square,vertex,ec,64,58,2.306605501,0.6100549606
square,vertex,ec,64,59,2.306313848,0.6043098992
square,vertex,ec,64,60,2.306545153,0.6071051062
square,vertex,ec,64,61,2.305419234,0.5975789868
square,vertex,ec,64,62,2.306545153,0.6083222222
square,vertex,ec,64,63,2.306233405,0.6089176065
square,vertex,ec,64,64,2.30661556,0.605662439
square,vertex,ec,64,65,2.305931793,0.6095286171
square,vertex,ec,64,66,2.305901636,0.6036210536
square,vertex,ec,64,67,2.306816745,0.607920008
square,vertex,ec,64,68,2.304906903,0.6078421203
square,vertex,ec,64,69,2.304726135,0.6018624378
square,vertex,ec,64,70,2.306575327,0.6070135502
square,vertex,ec,64,71,2.304987254,0.6012096651
square,vertex,ec,64,72,2.307148777,0.6052698404
square,vertex,ec,64,73,2.305489572,0.6039530393
square,vertex,ec,64,74,2.306635677,0.6045896835
square,vertex,ec,64,75,2.305590062,0.6020273824
square,vertex,ec,64,76,2.305791068,0.6081430479
square,vertex,ec,64,77,2.30633396,0.6092206521
square,vertex,ec,64,78,2.305580013,0.6048796382
square,vertex,ec,64,79,2.306102697,0.5988602697
square,vertex,ec,64,80,2.306253515,0.6096392022
square,vertex,ec,64,81,2.305791068,0.6096950784
square,vertex,ec,64,82,2.305630261,0.6120028683
square,vertex,ec,64,83,2.305770966,0.6164727612
square,vertex,ec,64,84,2.306163022,0.6102211034
square,vertex,ec,64,85,2.305911689,0.6065533991
square,vertex,ec,64,86,2.306454637,0.6010782045
square,vertex,ec,64,87,2.305449379,0.6092022535
square,vertex,ec,64,88,2.306112751,0.6137900631
square,vertex,ec,64,89,2.305238386,0.6112623556
square,vertex,ec,64,90,2.305861429,0.6033349882
square,vertex,ec,64,91,2.306163022,0.611289557
square,vertex,ec,64,92,2.305248432,0.6067106818
square,vertex,ec,64,93,2.305941846,0.6179045172
square,vertex,ec,64,94,2.305972004,0.6030890243
square,vertex,ec,64,95,2.305358948,0.6024507907
square,vertex,ec,64,96,2.305982056,0.6121184366
square,vertex,ec,64,97,2.305509669,0.6050121042
square,vertex,ec,64,98,2.306183131,0.6033744616
square,vertex,ec,64,99,2.306816745,0.6044989183
square,vertex,ec,64,100,2.306173076,0.6083065636
square,vertex,ec,64,101,2.305710662,0.6058765373
square,vertex,ec,64,102,2.305127881,0.6084511057
square,vertex,ec,64,103,2.30461568,0.6102261753
square,vertex,ec,64,104,2.305710662,0.6087759206
square,vertex,ec,64,105,2.305801119,0.600923308
square,vertex,ec,64,106,2.30565036,0.6035305028
square,vertex,ec,64,107,2.304595598,0.6119136243
square,vertex,ec,64,108,2.306625618,0.6070683136
square,vertex,ec,64,109,2.306022269,0.6051200696
square,vertex,ec,64,110,2.306856986,0.6101528753
square,vertex,ec,64,111,2.305097745,0.6041492401
square,vertex,ec,64,112,2.305851377,0.6118039454
square,vertex,ec,64,113,2.306947534,0.6004457976
square,vertex,ec,64,114,2.305921741,0.6145809369
square,vertex,ec,64,115,2.306977718,0.6074445397
square,vertex,ec,64,116,2.305308712,0.6057358985
square,vertex,ec,64,117,2.306112751,0.6203650769
square,vertex,ec,64,118,2.305730763,0.6086289455
square,vertex,ec,64,119,2.30668597,0.6107750632
square,vertex,ec,64,120,2.306012215,0.6053841649
square,vertex,ec,64,121,2.306887168,0.6052253991
square,vertex,ec,64,122,2.306374184,0.6127946418
square,vertex,ec,64,123,2.305881532,0.6151965759
square,vertex,ec,64,124,2.30668597,0.6128223141
square,vertex,ec,64,125,2.305791068,0.6079667067
square,vertex,ec,64,126,2.306504923,0.6109263657
square,vertex,ec,64,127,2.306635677,0.6144026862
square,vertex,ec,64,128,2.30624346,0.602470469
square,vertex,ec,64,129,2.305951898,0.6097815536
square,vertex,ec,64,130,2.304746219,0.6088680847
square,vertex,ec,64,131,2.305017387,0.6056134213
square,vertex,ec,64,132,2.30587148,0.6090686364
square,vertex,ec,64,133,2.305791068,0.600854947
square,vertex,ec,64,134,2.305439331,0.6066269674
square,vertex,ec,64,135,2.305911689,0.6066882685
square,vertex,ec,64,136,2.306595443,0.6053675387
square,vertex,ec,64,137,2.306112751,0.6054398608
square,vertex,ec,64,138,2.305569963,0.6041951675
square,vertex,ec,64,139,2.305811171,0.6107016172
square,vertex,ec,64,140,2.306152967,0.6049794983
square,vertex,ec,64,141,2.306434523,0.6127101311
square,vertex,ec,64,142,2.304987254,0.607206113
square,vertex,ec,64,143,2.306494866,0.6059759701
square,vertex,ec,64,144,2.30651498,0.6104587329
square,vertex,ec,64,145,2.305891584,0.6044788691
square,vertex,ec,64,146,2.305368996,0.6066991477
square,vertex,ec,64,147,2.30497721,0.6056771655
square,vertex,ec,64,148,2.306303792,0.6097443424
square,vertex,ec,64,149,2.306394297,0.598023096
square,vertex,ec,64,150,2.307360119,0.6082810925
square,vertex,ec,64,151,2.30567046,0.6175448303
square,vertex,ec,64,152,2.306484808,0.6021464209
square,vertex,ec,64,153,2.30620324,0.6070091277
square,vertex,ec,64,154,2.305972004,0.6081519943
square,vertex,ec,64,155,2.306022269,0.6120157446
square,vertex,ec,64,156,2.305891584,0.6016042101
square,vertex,ec,64,157,2.30510779,0.6085283739
square,vertex,ec,64,158,2.30668597,0.6061643987
square,vertex,ec,64,159,2.306484808,0.6077281759
square,vertex,ec,64,160,2.30565036,0.6116898531
square,vertex,ec,64,161,2.305419234,0.6119876416
square,vertex,ec,64,162,2.306012215,0.6043989845
square,vertex,ec,64,163,2.305569963,0.6115317473
square,vertex,ec,64,164,2.305238386,0.5966752195
square,vertex,ec,64,165,2.305198201,0.6157770388
square,vertex,ec,64,166,2.305047521,0.6144959451
square,vertex,ec,64,167,2.305559914,0.6084962601
