lattice_type,representation,variant,L,bootstrap,Tc,chi_c
square,vertex,m,64,0,2.301286904,72.31337949
square,vertex,m,64,1,2.301336965,71.32840701
square,vertex,m,64,2,2.30142708,71.8091069
square,vertex,m,64,3,2.300676337,71.23275572
square,vertex,m,64,4,2.300306151,71.95572864
square,vertex,m,64,5,2.301116713,71.91404711
square,vertex,m,64,6,2.302108177,71.55254038
square,vertex,m,64,7,2.301387028,72.49599171
square,vertex,m,64,8,2.301717498,72.07197688
square,vertex,m,64,9,2.300016088,72.59247888
square,vertex,m,64,10,2.300606293,72.05174814
square,vertex,m,64,11,2.301216822,71.95432096
square,vertex,m,64,12,2.300566269,71.0070853
square,vertex,m,64,13,2.30184771,71.77569058
square,vertex,m,64,14,2.301707483,70.71464558
square,vertex,m,64,15,2.301387028,72.09927825
square,vertex,m,64,16,2.300196119,72.9427405
square,vertex,m,64,17,2.301296916,71.99874803
square,vertex,m,64,18,2.300396185,72.91798373
square,vertex,m,64,19,2.300846462,72.32497659
square,vertex,m,64,20,2.300836454,72.77728272
square,vertex,m,64,21,2.300336161,71.97845228
square,vertex,m,64,22,2.300796423,72.32992252
square,vertex,m,64,23,2.300256135,72.70644975
square,vertex,m,64,24,2.301226834,71.32789092
square,vertex,m,64,25,2.300476222,71.23709288
square,vertex,m,64,26,2.301467133,72.26502956
square,vertex,m,64,27,2.300836454,71.37295457
square,vertex,m,64,28,2.301617346,70.90532085
square,vertex,m,64,29,2.302298555,72.47602542
square,vertex,m,64,30,2.300936539,72.70740147
square,vertex,m,64,31,2.301807643,72.32366723
square,vertex,m,64,32,2.300846462,71.60594069
square,vertex,m,64,33,2.30066633,71.17001056
square,vertex,m,64,34,2.300346165,72.47759895
square,vertex,m,64,35,2.300326158,70.94941438
square,vertex,m,64,36,2.301296916,71.5409593
square,vertex,m,64,37,2.301006603,71.57235085
square,vertex,m,64,38,2.300646317,72.79768053
square,vertex,m,64,39,2.30131694,71.28628241
square,vertex,m,64,40,2.301036632,72.40924342
square,vertex,m,64,41,2.300406189,73.40891874
square,vertex,m,64,42,2.300496232,72.15026853
square,vertex,m,64,43,2.301146745,72.53915851
square,vertex,m,64,44,2.300786415,71.62663019
square,vertex,m,64,45,2.300026089,72.2479061
square,vertex,m,64,46,2.301176778,71.76519713
square,vertex,m,64,47,2.30145712,71.44234432
square,vertex,m,64,48,2.300886496,72.15818576
square,vertex,m,64,49,2.300576275,72.37056302
square,vertex,m,64,50,2.300656324,72.80419363
square,vertex,m,64,51,2.30135699,72.10849196
square,vertex,m,64,52,2.3011968,71.83611063
square,vertex,m,64,53,2.301677436,71.83997415
square,vertex,m,64,54,2.300126103,72.0950903
square,vertex,m,64,55,2.300066094,71.23548081
square,vertex,m,64,56,2.301336965,71.13116649
square,vertex,m,64,57,2.30142708,72.09596908
square,vertex,m,64,58,2.30173753,72.50042602
square,vertex,m,64,59,2.300806431,71.47729313
square,vertex,m,64,60,2.301597316,71.82644868
square,vertex,m,64,61,2.300716364,71.13491231
square,vertex,m,64,62,2.301236845,71.99119972
square,vertex,m,64,63,2.30145712,72.13833808
square,vertex,m,64,64,2.30145712,71.44602303
square,vertex,m,64,65,2.300536252,72.3780464
square,vertex,m,64,66,2.301046642,71.62704745
square,vertex,m,64,67,2.301867744,72.01858957
square,vertex,m,64,68,2.299936084,72.08513165
square,vertex,m,64,69,2.299926084,71.74230583
square,vertex,m,64,70,2.301697467,71.80108662
square,vertex,m,64,71,2.299936084,71.17202523
square,vertex,m,64,72,2.301677436,71.64248392
square,vertex,m,64,73,2.300226126,71.60203783
square,vertex,m,64,74,2.301667421,71.48761281
square,vertex,m,64,75,2.300966566,71.32127873
square,vertex,m,64,76,2.301106703,71.70743386
square,vertex,m,64,77,2.301226834,72.15091713
square,vertex,m,64,78,2.300836454,71.97318637
square,vertex,m,64,79,2.300536252,70.91692237
square,vertex,m,64,80,2.301407054,72.71884142
square,vertex,m,64,81,2.301076672,72.37322664
square,vertex,m,64,82,2.300626305,72.35799918
square,vertex,m,64,83,2.30092653,73.13295757
square,vertex,m,64,84,2.301016613,72.3330958
square,vertex,m,64,85,2.300956557,71.60135957
square,vertex,m,64,86,2.301336965,71.43382803
square,vertex,m,64,87,2.300236129,71.89628517
square,vertex,m,64,88,2.301136734,72.55013269
square,vertex,m,64,89,2.300526247,72.64913161
square,vertex,m,64,90,2.300506237,71.05639862
square,vertex,m,64,91,2.300846462,71.81186982
square,vertex,m,64,92,2.300416194,72.31451767
square,vertex,m,64,93,2.30092653,72.72557464
square,vertex,m,64,94,2.300716364,71.94369101
square,vertex,m,64,95,2.300366173,71.32775791
square,vertex,m,64,96,2.300856471,72.02980242
square,vertex,m,64,97,2.300496232,71.96543085
square,vertex,m,64,98,2.300986585,71.25828211
square,vertex,m,64,99,2.30178761,71.42802198
square,vertex,m,64,100,2.300846462,71.71046344
square,vertex,m,64,101,2.300316154,71.99226429
square,vertex,m,64,102,2.300536252,72.45960978
square,vertex,m,64,103,2.299886084,72.4459725
square,vertex,m,64,104,2.300976575,72.16178422
square,vertex,m,64,105,2.300836454,71.39186569
square,vertex,m,64,106,2.300416194,71.13228025
square,vertex,m,64,107,2.299576133,72.83346618
square,vertex,m,64,108,2.30181766,71.57234839
square,vertex,m,64,109,2.301256868,71.67860129
square,vertex,m,64,110,2.301967918,72.54746041
square,vertex,m,64,111,2.299976085,71.8818915
square,vertex,m,64,112,2.301036632,72.2368811
square,vertex,m,64,113,2.301326952,70.94289056
square,vertex,m,64,114,2.301126724,72.49634406
square,vertex,m,64,115,2.301657406,71.55131405
square,vertex,m,64,116,2.300146107,72.21895731
square,vertex,m,64,117,2.300896504,73.54233031
square,vertex,m,64,118,2.30092653,72.5373798
square,vertex,m,64,119,2.301447106,72.31154719
square,vertex,m,64,120,2.300786415,71.69258116
square,vertex,m,64,121,2.301867744,70.87224899
square,vertex,m,64,122,2.301677436,72.35841943
square,vertex,m,64,123,2.301226834,72.83502418
square,vertex,m,64,124,2.301907812,72.51746957
