lattice_type,variant,L,bootstrap,Tc
triangular,ec,64,0,3.698532431
triangular,ec,64,1,3.701152284
triangular,ec,64,2,3.698592386
triangular,ec,64,3,3.699461954
triangular,ec,64,4,3.6997619
triangular,ec,64,5,3.699981891
triangular,ec,64,6,3.700541987
triangular,ec,64,7,3.700912143
triangular,ec,64,8,3.699222033
triangular,ec,64,9,3.700331931
triangular,ec,64,10,3.699741902
triangular,ec,64,11,3.699142066
triangular,ec,64,12,3.700301925
triangular,ec,64,13,3.69968191
triangular,ec,64,14,3.698262657
triangular,ec,64,15,3.700722054
triangular,ec,64,16,3.701472521
triangular,ec,64,17,3.698692316
triangular,ec,64,18,3.699541935
triangular,ec,64,19,3.698752276
triangular,ec,64,20,3.700722054
triangular,ec,64,21,3.700031893
triangular,ec,64,22,3.699102084
triangular,ec,64,23,3.699102084
triangular,ec,64,24,3.700261918
triangular,ec,64,25,3.698982142
triangular,ec,64,26,3.701382449
triangular,ec,64,27,3.702133183
triangular,ec,64,28,3.69837256
triangular,ec,64,29,3.699032117
triangular,ec,64,30,3.702103148
triangular,ec,64,31,3.700642022
triangular,ec,64,32,3.699182049
triangular,ec,64,33,3.701722744
triangular,ec,64,34,3.700471966
triangular,ec,64,35,3.698822232
triangular,ec,64,36,3.700842108
triangular,ec,64,37,3.698272648
triangular,ec,64,38,3.699541935
triangular,ec,64,39,3.699331993
triangular,ec,64,40,3.701222331
triangular,ec,64,41,3.69867233
triangular,ec,64,42,3.698212703
triangular,ec,64,43,3.700561994
triangular,ec,64,44,3.698402535
triangular,ec,64,45,3.697473544
triangular,ec,64,46,3.700832103
triangular,ec,64,47,3.700511978
triangular,ec,64,48,3.700431955
triangular,ec,64,49,3.700101898
triangular,ec,64,50,3.699252021
triangular,ec,64,51,3.700511978
triangular,ec,64,52,3.699531937
triangular,ec,64,53,3.699851893
triangular,ec,64,54,3.700031893
triangular,ec,64,55,3.701792813
triangular,ec,64,56,3.698622365
triangular,ec,64,57,3.699581927
triangular,ec,64,58,3.699901892
triangular,ec,64,59,3.699002132
triangular,ec,64,60,3.699601923
triangular,ec,64,61,3.701312396
triangular,ec,64,62,3.701272366
triangular,ec,64,63,3.699551933
triangular,ec,64,64,3.698572401
triangular,ec,64,65,3.699491947
triangular,ec,64,66,3.699571929
triangular,ec,64,67,3.6997619
triangular,ec,64,68,3.700652026
triangular,ec,64,69,3.698412527
triangular,ec,64,70,3.698532431
triangular,ec,64,71,3.699661913
triangular,ec,64,72,3.701102252
triangular,ec,64,73,3.700481969
triangular,ec,64,74,3.70055199
triangular,ec,64,75,3.700171905
triangular,ec,64,76,3.700722054
triangular,ec,64,77,3.69884222
triangular,ec,64,78,3.699511942
triangular,ec,64,79,3.700011892
triangular,ec,64,80,3.700992187
triangular,ec,64,81,3.699471952
triangular,ec,64,82,3.699312
triangular,ec,64,83,3.699192045
triangular,ec,64,84,3.697643325
triangular,ec,64,85,3.697833098
triangular,ec,64,86,3.700081896
triangular,ec,64,87,3.699411968
triangular,ec,64,88,3.700031893
triangular,ec,64,89,3.70078208
triangular,ec,64,90,3.699611921
triangular,ec,64,91,3.699661913
triangular,ec,64,92,3.701952979
triangular,ec,64,93,3.698862209
triangular,ec,64,94,3.699901892
triangular,ec,64,95,3.69848247
triangular,ec,64,96,3.699431963
triangular,ec,64,97,3.699541935
triangular,ec,64,98,3.699921891
triangular,ec,64,99,3.699711906
triangular,ec,64,100,3.699272014
triangular,ec,64,101,3.700401947
triangular,ec,64,102,3.700011892
triangular,ec,64,103,3.698682323
triangular,ec,64,104,3.700041894
triangular,ec,64,105,3.700191907
triangular,ec,64,106,3.699831895
triangular,ec,64,107,3.700471966
triangular,ec,64,108,3.697853076
triangular,ec,64,109,3.699951891
triangular,ec,64,110,3.700311927
triangular,ec,64,111,3.699651914
triangular,ec,64,112,3.698712303
triangular,ec,64,113,3.69891218
triangular,ec,64,114,3.700401947
triangular,ec,64,115,3.699212037
triangular,ec,64,116,3.699401971
triangular,ec,64,117,3.699721905
triangular,ec,64,118,3.700231913
triangular,ec,64,119,3.700341933
triangular,ec,64,120,3.699351986
triangular,ec,64,121,3.700261918
triangular,ec,64,122,3.699461954
triangular,ec,64,123,3.700121899
triangular,ec,64,124,3.701862884
triangular,ec,64,125,3.699931891
triangular,ec,64,126,3.700041894
triangular,ec,64,127,3.699621919
triangular,ec,64,128,3.699621919
triangular,ec,64,129,3.699331993
triangular,ec,64,130,3.699022122
triangular,ec,64,131,3.700301925
triangular,ec,64,132,3.699252021
triangular,ec,64,133,3.700081896
triangular,ec,64,134,3.699162057
triangular,ec,64,135,3.69876227
triangular,ec,64,136,3.699611921
triangular,ec,64,137,3.700351936
triangular,ec,64,138,3.698802245
triangular,ec,64,139,3.69814277
triangular,ec,64,140,3.700992187
triangular,ec,64,141,3.700491972
triangular,ec,64,142,3.699601923
triangular,ec,64,143,3.699931891
triangular,ec,64,144,3.698262657
triangular,ec,64,145,3.701072234
triangular,ec,64,146,3.698352578
triangular,ec,64,147,3.698892191
triangular,ec,64,148,3.699591925
triangular,ec,64,149,3.69952194
triangular,ec,64,150,3.699701907
triangular,ec,64,151,3.698782257
triangular,ec,64,152,3.698272648
triangular,ec,64,153,3.700992187
triangular,ec,64,154,3.698732289
triangular,ec,64,155,3.701192311
triangular,ec,64,156,3.700251916
triangular,ec,64,157,3.700822099
triangular,ec,64,158,3.700692042
triangular,ec,64,159,3.700461963
triangular,ec,64,160,3.697683276
triangular,ec,64,161,3.699641916
triangular,ec,64,162,3.699272014
triangular,ec,64,163,3.701702725
triangular,ec,64,164,3.698032881
triangular,ec,64,165,3.701822843
triangular,ec,64,166,3.700892133
triangular,ec,64,167,3.700051894
triangular,ec,64,168,3.698542424
triangular,ec,64,169,3.699292007
triangular,ec,64,170,3.699491947
triangular,ec,64,171,3.699082093
triangular,ec,64,172,3.699162057
triangular,ec,64,173,3.699941891
triangular,ec,64,174,3.699052107
triangular,ec,64,175,3.698882197
triangular,ec,64,176,3.699811896
triangular,ec,64,177,3.699312
triangular,ec,64,178,3.698612372
triangular,ec,64,179,3.698872203
triangular,ec,64,180,3.699082093
triangular,ec,64,181,3.701662687
triangular,ec,64,182,3.698992137
triangular,ec,64,183,3.698752276
triangular,ec,64,184,3.700321929
triangular,ec,64,185,3.699252021
triangular,ec,64,186,3.698552416
triangular,ec,64,187,3.699861893
triangular,ec,64,188,3.698572401
triangular,ec,64,189,3.700812094
triangular,ec,64,190,3.699661913
triangular,ec,64,191,3.700902138
triangular,ec,64,192,3.699811896
triangular,ec,64,193,3.700021893
triangular,ec,64,194,3.698302621
