lattice_type,variant,L,bootstrap,Tc
triangular,m,64,0,3.691312085
triangular,m,64,1,3.694410186
triangular,m,64,2,3.691580846
triangular,m,64,3,3.691969126
triangular,m,64,4,3.69342341
triangular,m,64,5,3.691700308
triangular,m,64,6,3.693393516
triangular,m,64,7,3.692656282
triangular,m,64,8,3.692357487
triangular,m,64,9,3.692985012
triangular,m,64,10,3.692287775
triangular,m,64,11,3.691919342
triangular,m,64,12,3.692546718
triangular,m,64,13,3.692397323
triangular,m,64,14,3.691222507
triangular,m,64,15,3.693014899
triangular,m,64,16,3.694121076
triangular,m,64,17,3.692755891
triangular,m,64,18,3.691889472
triangular,m,64,19,3.692008954
triangular,m,64,20,3.69374231
triangular,m,64,21,3.692875429
triangular,m,64,22,3.692148359
triangular,m,64,23,3.692088613
triangular,m,64,24,3.691919342
triangular,m,64,25,3.691600756
triangular,m,64,26,3.694489948
triangular,m,64,27,3.694649484
triangular,m,64,28,3.690804533
triangular,m,64,29,3.691322039
triangular,m,64,30,3.694141013
triangular,m,64,31,3.693413445
triangular,m,64,32,3.691740131
triangular,m,64,33,3.693762243
triangular,m,64,34,3.693363622
triangular,m,64,35,3.691272272
triangular,m,64,36,3.693234089
triangular,m,64,37,3.690595581
triangular,m,64,38,3.69288539
triangular,m,64,39,3.692576598
triangular,m,64,40,3.693493165
triangular,m,64,41,3.691690353
triangular,m,64,42,3.690705029
triangular,m,64,43,3.693413445
triangular,m,64,44,3.690844336
triangular,m,64,45,3.690078278
triangular,m,64,46,3.693104565
triangular,m,64,47,3.693064713
triangular,m,64,48,3.69342341
triangular,m,64,49,3.693094602
triangular,m,64,50,3.691610711
triangular,m,64,51,3.692676203
triangular,m,64,52,3.692486959
triangular,m,64,53,3.692556678
triangular,m,64,54,3.69209857
triangular,m,64,55,3.694380276
triangular,m,64,56,3.690675179
triangular,m,64,57,3.692228024
triangular,m,64,58,3.692287775
triangular,m,64,59,3.691939255
triangular,m,64,60,3.692496918
triangular,m,64,61,3.693981521
triangular,m,64,62,3.693602784
triangular,m,64,63,3.691949212
triangular,m,64,64,3.691740131
triangular,m,64,65,3.6929352
triangular,m,64,66,3.692586558
triangular,m,64,67,3.693184271
triangular,m,64,68,3.693174307
triangular,m,64,69,3.691202601
triangular,m,64,70,3.692108528
triangular,m,64,71,3.69232761
triangular,m,64,72,3.693971554
triangular,m,64,73,3.693851945
triangular,m,64,74,3.693024862
triangular,m,64,75,3.691809822
triangular,m,64,76,3.693244053
triangular,m,64,77,3.691620666
triangular,m,64,78,3.691660487
triangular,m,64,79,3.691939255
triangular,m,64,80,3.69427061
triangular,m,64,81,3.691570892
triangular,m,64,82,3.692118486
triangular,m,64,83,3.692088613
triangular,m,64,84,3.690257328
triangular,m,64,85,3.690665229
triangular,m,64,86,3.692985012
triangular,m,64,87,3.691700308
triangular,m,64,88,3.692716046
triangular,m,64,89,3.693303836
triangular,m,64,90,3.691760042
triangular,m,64,91,3.692556678
triangular,m,64,92,3.694809033
triangular,m,64,93,3.691889472
triangular,m,64,94,3.692387364
triangular,m,64,95,3.691053316
triangular,m,64,96,3.691541027
triangular,m,64,97,3.692277816
triangular,m,64,98,3.692696125
triangular,m,64,99,3.692656282
triangular,m,64,100,3.691740131
triangular,m,64,101,3.693473234
triangular,m,64,102,3.69245708
triangular,m,64,103,3.691690353
triangular,m,64,104,3.693024862
triangular,m,64,105,3.692745929
triangular,m,64,106,3.692337569
triangular,m,64,107,3.692835582
triangular,m,64,108,3.691610711
triangular,m,64,109,3.692895352
triangular,m,64,110,3.693124491
triangular,m,64,111,3.692875429
triangular,m,64,112,3.691819778
triangular,m,64,113,3.691680397
triangular,m,64,114,3.693303836
triangular,m,64,115,3.691461392
triangular,m,64,116,3.691630621
triangular,m,64,117,3.69245708
triangular,m,64,118,3.692646321
triangular,m,64,119,3.692676203
triangular,m,64,120,3.692586558
triangular,m,64,121,3.693812077
triangular,m,64,122,3.692696125
triangular,m,64,123,3.692785774
triangular,m,64,124,3.693841978
triangular,m,64,125,3.693483199
triangular,m,64,126,3.692696125
triangular,m,64,127,3.692546718
triangular,m,64,128,3.692168275
triangular,m,64,129,3.691252366
triangular,m,64,130,3.691779954
triangular,m,64,131,3.693562922
triangular,m,64,132,3.692158317
triangular,m,64,133,3.69232761
triangular,m,64,134,3.691779954
triangular,m,64,135,3.691033412
triangular,m,64,136,3.692845543
triangular,m,64,137,3.69342341
triangular,m,64,138,3.691182696
triangular,m,64,139,3.690804533
triangular,m,64,140,3.693363622
triangular,m,64,141,3.693493165
triangular,m,64,142,3.69209857
triangular,m,64,143,3.692576598
triangular,m,64,144,3.690386653
triangular,m,64,145,3.693533026
triangular,m,64,146,3.691282226
triangular,m,64,147,3.691799866
triangular,m,64,148,3.69244712
triangular,m,64,149,3.690983653
triangular,m,64,150,3.692506878
triangular,m,64,151,3.690983653
triangular,m,64,152,3.691063268
triangular,m,64,153,3.694061265
triangular,m,64,154,3.690913993
triangular,m,64,155,3.692476999
triangular,m,64,156,3.691660487
triangular,m,64,157,3.69305475
triangular,m,64,158,3.693891814
triangular,m,64,159,3.693044787
triangular,m,64,160,3.69024738
triangular,m,64,161,3.692257899
triangular,m,64,162,3.692128443
triangular,m,64,163,3.693393516
triangular,m,64,164,3.690714979
triangular,m,64,165,3.694898785
triangular,m,64,166,3.6929352
triangular,m,64,167,3.692985012
triangular,m,64,168,3.691292179
triangular,m,64,169,3.692148359
triangular,m,64,170,3.691451438
triangular,m,64,171,3.691550982
triangular,m,64,172,3.692277816
triangular,m,64,173,3.691899429
triangular,m,64,174,3.691998997
triangular,m,64,175,3.691650532
triangular,m,64,176,3.692476999
triangular,m,64,177,3.69209857
triangular,m,64,178,3.691560937
triangular,m,64,179,3.691939255
triangular,m,64,180,3.692228024
triangular,m,64,181,3.693812077
triangular,m,64,182,3.691600756
triangular,m,64,183,3.692138401
triangular,m,64,184,3.693074676
triangular,m,64,185,3.691959169
triangular,m,64,186,3.691998997
triangular,m,64,187,3.69263636
triangular,m,64,188,3.69047619
triangular,m,64,189,3.692795736
triangular,m,64,190,3.692606479
triangular,m,64,191,3.693782177
triangular,m,64,192,3.692178233
triangular,m,64,193,3.692556678
triangular,m,64,194,3.691242413
triangular,m,64,195,3.692815659
triangular,m,64,196,3.692417242
triangular,m,64,197,3.692138401
triangular,m,64,198,3.693124491
triangular,m,64,199,3.692178233
triangular,m,96,0,3.673970861
triangular,m,96,1,3.674939267
triangular,m,96,2,3.676237931
triangular,m,96,3,3.674450008
triangular,m,96,4,3.67510904
triangular,m,96,5,3.676197958
triangular,m,96,6,3.673811173
triangular,m,96,7,3.676217944
triangular,m,96,8,3.674599767
triangular,m,96,9,3.676867613
triangular,m,96,10,3.67455983
triangular,m,96,11,3.675148989
triangular,m,96,12,3.67464969
triangular,m,96,13,3.673781233
triangular,m,96,14,3.674459992
triangular,m,96,15,3.674110599
triangular,m,96,16,3.675049118
triangular,m,96,17,3.675208914
triangular,m,96,18,3.675868217
triangular,m,96,19,3.675638433
triangular,m,96,20,3.674529878
triangular,m,96,21,3.674859379
triangular,m,96,22,3.674400091
triangular,m,96,23,3.675518557
triangular,m,96,24,3.673940919
triangular,m,96,25,3.674569815
triangular,m,96,26,3.673910976
triangular,m,96,27,3.673571667
triangular,m,96,28,3.675208914
triangular,m,96,29,3.675328769
triangular,m,96,30,3.674769509
triangular,m,96,31,3.674450008
triangular,m,96,32,3.674669659
triangular,m,96,33,3.673601604
triangular,m,96,34,3.674130563
triangular,m,96,35,3.674040729
triangular,m,96,36,3.67405071
triangular,m,96,37,3.675338758
triangular,m,96,38,3.676048069
triangular,m,96,39,3.674390108
triangular,m,96,40,3.673781233
triangular,m,96,41,3.67510904
triangular,m,96,42,3.67355171
triangular,m,96,43,3.67487935
triangular,m,96,44,3.675139001
triangular,m,96,45,3.674579799
triangular,m,96,46,3.674519894
triangular,m,96,47,3.674739554
triangular,m,96,48,3.6754786
triangular,m,96,49,3.675788289
triangular,m,96,50,3.675458622
triangular,m,96,51,3.675698374
triangular,m,96,52,3.674969225
triangular,m,96,53,3.675218901
triangular,m,96,54,3.674749539
triangular,m,96,55,3.673651499
triangular,m,96,56,3.6754786
triangular,m,96,57,3.675019158
triangular,m,96,58,3.674759524
triangular,m,96,59,3.67405071
triangular,m,96,60,3.676517763
triangular,m,96,61,3.675238877
triangular,m,96,62,3.675039131
triangular,m,96,63,3.675218901
triangular,m,96,64,3.673851094
triangular,m,96,65,3.674809451
triangular,m,96,66,3.673950899
triangular,m,96,67,3.673182537
triangular,m,96,68,3.675468611
triangular,m,96,69,3.674450008
triangular,m,96,70,3.674939267
triangular,m,96,71,3.674939267
triangular,m,96,72,3.675298805
triangular,m,96,73,3.675358735
triangular,m,96,74,3.676237931
triangular,m,96,75,3.675438644
triangular,m,96,76,3.675139001
triangular,m,96,77,3.675718355
triangular,m,96,78,3.674819436
triangular,m,96,79,3.673441948
triangular,m,96,80,3.675558515
triangular,m,96,81,3.674729569
triangular,m,96,82,3.675348746
triangular,m,96,83,3.673352148
triangular,m,96,84,3.675178951
triangular,m,96,85,3.675578494
triangular,m,96,86,3.675408678
triangular,m,96,87,3.675049118
triangular,m,96,88,3.675158976
triangular,m,96,89,3.675368723
triangular,m,96,90,3.675009171
triangular,m,96,91,3.674729569
triangular,m,96,92,3.673980842
triangular,m,96,93,3.67487935
triangular,m,96,94,3.673861074
triangular,m,96,95,3.675688384
triangular,m,96,96,3.676787642
triangular,m,96,97,3.674969225
triangular,m,96,98,3.674989198
triangular,m,96,99,3.6753887
triangular,m,96,100,3.674599767
triangular,m,96,101,3.676108023
triangular,m,96,102,3.673501817
triangular,m,96,103,3.675059105
triangular,m,96,104,3.675728345
triangular,m,96,105,3.674869365
triangular,m,96,106,3.675978124
triangular,m,96,107,3.674919294
triangular,m,96,108,3.675488589
triangular,m,96,109,3.674320227
triangular,m,96,110,3.6766477
triangular,m,96,111,3.675338758
triangular,m,96,112,3.674569815
triangular,m,96,113,3.675089066
triangular,m,96,114,3.674579799
triangular,m,96,115,3.674989198
triangular,m,96,116,3.674819436
triangular,m,96,117,3.675039131
triangular,m,96,118,3.676207951
triangular,m,96,119,3.675828253
triangular,m,96,120,3.674519894
triangular,m,96,121,3.675508568
triangular,m,96,122,3.6754786
triangular,m,96,123,3.674919294
triangular,m,96,124,3.674689629
triangular,m,96,125,3.676327872
triangular,m,96,126,3.674849393
triangular,m,96,127,3.674060692
triangular,m,96,128,3.674999185
triangular,m,96,129,3.675298805
triangular,m,96,130,3.674969225
triangular,m,96,131,3.672983015
triangular,m,96,132,3.675019158
triangular,m,96,133,3.675119027
triangular,m,96,134,3.674729569
triangular,m,96,135,3.67364152
triangular,m,96,136,3.674939267
triangular,m,96,137,3.674859379
triangular,m,96,138,3.67634786
triangular,m,96,139,3.674779494
triangular,m,96,140,3.674939267
triangular,m,96,141,3.674519894
triangular,m,96,142,3.675019158
triangular,m,96,143,3.675248865
triangular,m,96,144,3.675119027
triangular,m,96,145,3.674579799
triangular,m,96,146,3.675139001
triangular,m,96,147,3.675558515
triangular,m,96,148,3.674969225
triangular,m,96,149,3.675188938
triangular,m,96,150,3.675628443
triangular,m,96,151,3.675089066
triangular,m,96,152,3.674160509
triangular,m,96,153,3.675139001
triangular,m,96,154,3.674679644
triangular,m,96,155,3.674639705
triangular,m,96,156,3.674659674
triangular,m,96,157,3.67464969
triangular,m,96,158,3.674240366
triangular,m,96,159,3.674699614
triangular,m,96,160,3.673711375
triangular,m,96,161,3.674779494
triangular,m,96,162,3.675438644
triangular,m,96,163,3.675198926
triangular,m,96,164,3.674469975
triangular,m,96,165,3.675708364
triangular,m,96,166,3.676337866
triangular,m,96,167,3.6753887
triangular,m,96,168,3.675648423
triangular,m,96,169,3.674499927
triangular,m,96,170,3.674140545
triangular,m,96,171,3.674819436
triangular,m,96,172,3.674969225
triangular,m,96,173,3.675188938
triangular,m,96,174,3.675178951
triangular,m,96,175,3.675708364
triangular,m,96,176,3.675708364
triangular,m,96,177,3.674669659
triangular,m,96,178,3.674769509
triangular,m,96,179,3.676257917
triangular,m,96,180,3.675408678
triangular,m,96,181,3.675458622
triangular,m,96,182,3.674110599
triangular,m,96,183,3.674080655
triangular,m,96,184,3.676068053
triangular,m,96,185,3.674589783
triangular,m,96,186,3.673761273
triangular,m,96,187,3.675508568
triangular,m,96,188,3.674869365
triangular,m,96,189,3.674350176
triangular,m,96,190,3.675538536
triangular,m,96,191,3.676637704
triangular,m,96,192,3.675468611
triangular,m,96,193,3.674589783
triangular,m,96,194,3.675988116
triangular,m,96,195,3.675168963
triangular,m,96,196,3.675268841
triangular,m,96,197,3.675768308
triangular,m,96,198,3.675918174
triangular,m,96,199,3.674769509
triangular,m,128,0,3.666347745
triangular,m,128,1,3.667087438
triangular,m,128,2,3.666377727
triangular,m,128,3,3.667477396
triangular,m,128,4,3.667407397
triangular,m,128,5,3.666937476
triangular,m,128,6,3.667117432
triangular,m,128,7,3.666877494
triangular,m,128,8,3.666517648
triangular,m,128,9,3.666717554
triangular,m,128,10,3.666387721
triangular,m,128,11,3.666437691
triangular,m,128,12,3.666517648
triangular,m,128,13,3.667877439
triangular,m,128,14,3.666907485
triangular,m,128,15,3.666397715
triangular,m,128,16,3.667487396
triangular,m,128,17,3.667517396
triangular,m,128,18,3.666837508
triangular,m,128,19,3.666627593
triangular,m,128,20,3.66707744
triangular,m,128,21,3.666147879
triangular,m,128,22,3.667167422
triangular,m,128,23,3.666467675
triangular,m,128,24,3.66583813
triangular,m,128,25,3.667577399
triangular,m,128,26,3.666477669
triangular,m,128,27,3.666747542
triangular,m,128,28,3.66645768
triangular,m,128,29,3.667917448
triangular,m,128,30,3.666247809
triangular,m,128,31,3.667287406
triangular,m,128,32,3.665938043
triangular,m,128,33,3.667237412
triangular,m,128,34,3.666967467
triangular,m,128,35,3.667367399
triangular,m,128,36,3.666767534
triangular,m,128,37,3.667027451
triangular,m,128,38,3.665908069
triangular,m,128,39,3.666797522
triangular,m,128,40,3.667367399
triangular,m,128,41,3.667517396
triangular,m,128,42,3.667417397
triangular,m,128,43,3.667147426
