lattice_type,variant,L,Tc,Tc_std,N_boot
triangular,ec,64,3.699729049,0.000955650635,200
triangular,ec,96,3.678347023,0.0007590444334,200
triangular,ec,128,3.668829348,0.0006227337062,200
triangular,ec,192,3.659567182,0.0004567988328,200
triangular,ec,256,3.654079303,0.0003135741301,200
triangular,ec,384,3.649923132,0.0002402046363,200
triangular,ec,512,3.647612462,0.000231634864,200
triangular,ec,768,3.645132873,0.000169665237,200
triangular,ec,1024,3.644188529,0.0001474290082,200
triangular,ec,1536,3.643171589,0.000132493666,200
triangular,ec,2048,3.642533261,0.0001099380768,200
triangular,ec,3072,3.642117399,0.0001044376845,200
