lattice_type,variant,L,Tc,Tc_std,N_boot
triangular,m,64,3.692393441,0.0009639968528,200
triangular,m,96,3.674972016,0.0007290650531,200
triangular,m,128,3.666867348,0.0006065223833,200
triangular,m,192,3.658740407,0.0004489195322,200
triangular,m,256,3.653471507,0.0003106866498,200
triangular,m,384,3.649686702,0.0002401252843,200
triangular,m,512,3.647475246,0.000233200179,200
triangular,m,768,3.645065603,0.0001694811554,200
triangular,m,1024,3.644161129,0.0001483819928,200
triangular,m,1536,3.643158384,0.0001327011059,200
triangular,m,2048,3.642522511,0.0001091713214,200
triangular,m,3072,3.642114599,0.0001045617938,200
