lattice_type,representation,temperature,L,n_samples,M_unique,M_entropy,M_Keff,EC_unique,EC_entropy,EC_Keff,unique_ratio_EC_over_M,Keff_ratio_EC_over_M,M_unique_fraction,EC_unique_fraction,M_Keff_fraction,EC_Keff_fraction
triangular,vertex,3.641,64,200,183,5.177866105,177.3040588,118,4.601244603,99.60821116,0.6448087432,0.5617931808,0.915,0.59,0.886520294,0.4980410558
triangular,vertex,3.641,96,200,197,5.277522951,195.8840595,153,4.942977804,140.1870782,0.7766497462,0.7156635338,0.985,0.765,0.9794202976,0.7009353912
triangular,vertex,3.641,128,200,196,5.270591479,194.5309895,171,5.087756972,162.0260252,0.8724489796,0.8329059839,0.98,0.855,0.9726549474,0.810130126
triangular,vertex,3.641,192,200,198,5.284454423,197.2465409,189,5.219454936,184.8334106,0.9545454545,0.9370679441,0.99,0.945,0.9862327045,0.9241670528
triangular,vertex,3.641,256,200,200,5.298317367,200,192,5.242865592,189.2115293,0.96,0.9460576467,1,0.96,1,0.9460576467
triangular,vertex,3.641,384,200,200,5.298317367,200,197,5.277522951,195.8840595,0.985,0.9794202976,1,0.985,1,0.9794202976
triangular,vertex,3.641,512,200,200,5.298317367,200,198,5.284454423,197.2465409,0.99,0.9862327045,1,0.99,1,0.9862327045
triangular,vertex,3.641,768,200,199,5.291385895,198.6184991,200,5.298317367,200,1.005025126,1.00695555,0.995,1,0.9930924954,1
triangular,vertex,3.641,1024,200,200,5.298317367,200,200,5.298317367,200,1,1,1,1,1,1
triangular,vertex,3.641,1536,200,200,5.298317367,200,200,5.298317367,200,1,1,1,1,1,1
triangular,vertex,3.641,2048,200,200,5.298317367,200,200,5.298317367,200,1,1,1,1,1,1
triangular,vertex,3.641,3072,200,200,5.298317367,200,199,5.291385895,198.6184991,0.995,0.9930924954,1,0.995,1,0.9930924954
