lattice_type,representation,variant,L,bootstrap,Tc,chi_c
triangular,vertex,ec,64,0,3.703044484,0.4549946365
triangular,vertex,ec,64,1,3.702083125,0.4589832772
triangular,vertex,ec,64,2,3.701862884,0.4625522054
triangular,vertex,ec,64,3,3.701562597,0.4590685419
triangular,vertex,ec,64,4,3.701202318,0.4575711549
triangular,vertex,ec,64,5,3.700321929,0.4649191257
triangular,vertex,ec,64,6,3.701392456,0.4667057489
triangular,vertex,ec,64,7,3.70258377,0.4624467246
triangular,vertex,ec,64,8,3.701552588,0.458258157
triangular,vertex,ec,64,9,3.70066203,0.4659663023
triangular,vertex,ec,64,10,3.701212324,0.4662519329
triangular,vertex,ec,64,11,3.702243317,0.4610760582
triangular,vertex,ec,64,12,3.702323418,0.4612818879
triangular,vertex,ec,64,13,3.701642669,0.4619223458
triangular,vertex,ec,64,14,3.701612642,0.4583842676
triangular,vertex,ec,64,15,3.701842863,0.4612475681
triangular,vertex,ec,64,16,3.702744006,0.4651429335
triangular,vertex,ec,64,17,3.700061895,0.4650128511
triangular,vertex,ec,64,18,3.700772076,0.4564432881
triangular,vertex,ec,64,19,3.704587707,0.4575532011
triangular,vertex,ec,64,20,3.701862884,0.4607946
triangular,vertex,ec,64,21,3.703896104,0.4625771485
triangular,vertex,ec,64,22,3.703054501,0.4598650164
triangular,vertex,ec,64,23,3.701872894,0.4657221734
triangular,vertex,ec,64,24,3.700091897,0.4685739185
triangular,vertex,ec,64,25,3.701842863,0.4641709485
triangular,vertex,ec,64,26,3.701412472,0.4609860025
triangular,vertex,ec,64,27,3.701122265,0.4571238524
triangular,vertex,ec,64,28,3.701232338,0.467925444
triangular,vertex,ec,64,29,3.703886083,0.4577535553
triangular,vertex,ec,64,30,3.702473617,0.4615415243
triangular,vertex,ec,64,31,3.701572606,0.464076404
triangular,vertex,ec,64,32,3.700531984,0.4652864633
triangular,vertex,ec,64,33,3.701612642,0.4605894395
triangular,vertex,ec,64,34,3.701552588,0.4595513525
triangular,vertex,ec,64,35,3.700001892,0.4609714364
triangular,vertex,ec,64,36,3.701012198,0.4665342994
triangular,vertex,ec,64,37,3.700932154,0.4554336059
triangular,vertex,ec,64,38,3.700812094,0.4626055635
triangular,vertex,ec,64,39,3.702864191,0.4641410714
triangular,vertex,ec,64,40,3.701092246,0.4650260398
triangular,vertex,ec,64,41,3.699911891,0.4625883422
triangular,vertex,ec,64,42,3.701942968,0.4596687414
triangular,vertex,ec,64,43,3.701002193,0.4552203077
triangular,vertex,ec,64,44,3.701712734,0.4682255509
triangular,vertex,ec,64,45,3.703505312,0.4626054431
triangular,vertex,ec,64,46,3.70324483,0.4591916268
triangular,vertex,ec,64,47,3.702573756,0.4605333156
triangular,vertex,ec,64,48,3.701202318,0.4588389445
triangular,vertex,ec,64,49,3.700401947,0.4631968025
triangular,vertex,ec,64,50,3.70245359,0.4589090026
triangular,vertex,ec,64,51,3.701162291,0.4600541763
triangular,vertex,ec,64,52,3.701172297,0.4664047662
triangular,vertex,ec,64,53,3.700491972,0.4614111345
triangular,vertex,ec,64,54,3.70196299,0.4629493868
triangular,vertex,ec,64,55,3.703304938,0.4669810872
triangular,vertex,ec,64,56,3.700291923,0.459568669
triangular,vertex,ec,64,57,3.702323418,0.4625326582
triangular,vertex,ec,64,58,3.702153207,0.4608552903
triangular,vertex,ec,64,59,3.702764036,0.4599241924
triangular,vertex,ec,64,60,3.700672034,0.4634592988
triangular,vertex,ec,64,61,3.701983012,0.4607395297
triangular,vertex,ec,64,62,3.700351936,0.4641077994
triangular,vertex,ec,64,63,3.702373483,0.4587515538
triangular,vertex,ec,64,64,3.703254848,0.4718492412
triangular,vertex,ec,64,65,3.70211316,0.4623439212
triangular,vertex,ec,64,66,3.699771899,0.465145433
triangular,vertex,ec,64,67,3.702603799,0.4647605689
triangular,vertex,ec,64,68,3.700672034,0.4593964057
triangular,vertex,ec,64,69,3.701362433,0.466384807
triangular,vertex,ec,64,70,3.702043079,0.4642473611
triangular,vertex,ec,64,71,3.702984384,0.4651732596
triangular,vertex,ec,64,72,3.701412472,0.4575100027
triangular,vertex,ec,64,73,3.701952979,0.4674330365
triangular,vertex,ec,64,74,3.702954335,0.4660314921
triangular,vertex,ec,64,75,3.701983012,0.4679391506
triangular,vertex,ec,64,76,3.701812833,0.4566991064
triangular,vertex,ec,64,77,3.703926168,0.4661035519
triangular,vertex,ec,64,78,3.702043079,0.4661207142
triangular,vertex,ec,64,79,3.702333431,0.4671340478
triangular,vertex,ec,64,80,3.702894239,0.4612401035
triangular,vertex,ec,64,81,3.702423549,0.4613703971
triangular,vertex,ec,64,82,3.703274884,0.4707323406
triangular,vertex,ec,64,83,3.703164689,0.4615619824
triangular,vertex,ec,64,84,3.702373483,0.463881086
triangular,vertex,ec,64,85,3.701742763,0.4620874362
triangular,vertex,ec,64,86,3.702043079,0.4621217491
triangular,vertex,ec,64,87,3.702123172,0.4580453856
triangular,vertex,ec,64,88,3.702433562,0.4630494415
triangular,vertex,ec,64,89,3.701162291,0.4647029708
triangular,vertex,ec,64,90,3.702083125,0.4582094161
triangular,vertex,ec,64,91,3.702603799,0.4591745081
triangular,vertex,ec,64,92,3.702033068,0.4617914453
triangular,vertex,ec,64,93,3.702553728,0.4562350621
triangular,vertex,ec,64,94,3.700201909,0.460806357
triangular,vertex,ec,64,95,3.700892133,0.4630341465
triangular,vertex,ec,64,96,3.703735769,0.4548942592
triangular,vertex,ec,64,97,3.702293379,0.4588774706
triangular,vertex,ec,64,98,3.700682038,0.462737582
triangular,vertex,ec,64,99,3.700311927,0.4578950568
triangular,vertex,ec,64,100,3.701692715,0.4576278093
triangular,vertex,ec,64,101,3.700652026,0.4734754329
triangular,vertex,ec,64,102,3.702073113,0.4610666405
triangular,vertex,ec,64,103,3.702553728,0.4608009912
triangular,vertex,ec,64,104,3.701362433,0.4633681646
triangular,vertex,ec,64,105,3.701412472,0.4604948859
triangular,vertex,ec,64,106,3.703575448,0.4644133695
triangular,vertex,ec,64,107,3.702203267,0.4643545932
triangular,vertex,ec,64,108,3.700812094,0.4599405676
triangular,vertex,ec,64,109,3.702403522,0.4625926658
triangular,vertex,ec,64,110,3.702914271,0.4604010061
triangular,vertex,ec,64,111,3.702153207,0.4613667681
triangular,vertex,ec,64,112,3.702283367,0.4594636435
triangular,vertex,ec,64,113,3.702203267,0.4575751718
triangular,vertex,ec,64,114,3.702233304,0.4530458794
triangular,vertex,ec,64,115,3.701392456,0.4524781916
triangular,vertex,ec,64,116,3.701462512,0.4635050112
triangular,vertex,ec,64,117,3.702043079,0.4631600974
triangular,vertex,ec,64,118,3.701462512,0.4595684893
triangular,vertex,ec,64,119,3.700531984,0.4649004212
triangular,vertex,ec,64,120,3.701922947,0.4616829414
triangular,vertex,ec,64,121,3.702023057,0.4630416593
triangular,vertex,ec,64,122,3.701973001,0.4630656973
triangular,vertex,ec,64,123,3.702623828,0.4615517259
triangular,vertex,ec,64,124,3.700942159,0.4654439635
triangular,vertex,ec,64,125,3.702874207,0.4605641177
triangular,vertex,ec,64,126,3.703214777,0.4691531193
triangular,vertex,ec,64,127,3.701742763,0.4666497554
triangular,vertex,ec,64,128,3.701432488,0.4698739309
triangular,vertex,ec,64,129,3.699741902,0.4618079264
triangular,vertex,ec,64,130,3.702683916,0.460746012
triangular,vertex,ec,64,131,3.703114602,0.4594825037
triangular,vertex,ec,64,132,3.699351986,0.4608352432
triangular,vertex,ec,64,133,3.702794082,0.4629468763
triangular,vertex,ec,64,134,3.701202318,0.4645128051
triangular,vertex,ec,64,135,3.701362433,0.4599079498
triangular,vertex,ec,64,136,3.700361938,0.4642531098
triangular,vertex,ec,64,137,3.703014434,0.4630482515
triangular,vertex,ec,64,138,3.700171905,0.4556226825
triangular,vertex,ec,64,139,3.702133183,0.4654792766
triangular,vertex,ec,64,140,3.701072234,0.4605327687
triangular,vertex,ec,64,141,3.700521981,0.4642547167
triangular,vertex,ec,64,142,3.69952194,0.4612863577
triangular,vertex,ec,64,143,3.703254848,0.465079763
triangular,vertex,ec,64,144,3.702273354,0.4623937598
triangular,vertex,ec,64,145,3.701973001,0.4616570049
triangular,vertex,ec,64,146,3.702153207,0.4584693737
triangular,vertex,ec,64,147,3.701993023,0.4615708221
triangular,vertex,ec,64,148,3.699961891,0.4647327218
triangular,vertex,ec,64,149,3.702774051,0.4635487643
triangular,vertex,ec,64,150,3.701452504,0.4588253512
triangular,vertex,ec,64,151,3.70154258,0.4600349412
triangular,vertex,ec,64,152,3.702874207,0.4641719491
triangular,vertex,ec,64,153,3.701952979,0.4631933074
triangular,vertex,ec,64,154,3.703465235,0.4582589686
triangular,vertex,ec,64,155,3.700882128,0.463674341
triangular,vertex,ec,64,156,3.702273354,0.4600777396
triangular,vertex,ec,64,157,3.701232338,0.4665358068
triangular,vertex,ec,64,158,3.70236347,0.4658008051
triangular,vertex,ec,64,159,3.70205309,0.4525421528
triangular,vertex,ec,64,160,3.70248363,0.4552744345
triangular,vertex,ec,64,161,3.701252352,0.461575038
triangular,vertex,ec,64,162,3.704627808,0.4533423518
triangular,vertex,ec,64,163,3.701512554,0.4676241395
triangular,vertex,ec,64,164,3.702093136,0.4570850518
triangular,vertex,ec,64,165,3.70154258,0.4602524002
triangular,vertex,ec,64,166,3.701522563,0.4627684416
triangular,vertex,ec,64,167,3.702293379,0.4603624874
triangular,vertex,ec,64,168,3.702173231,0.4634806204
triangular,vertex,ec,64,169,3.701973001,0.4617442165
triangular,vertex,ec,64,170,3.702293379,0.4618894644
triangular,vertex,ec,64,171,3.70245359,0.4615705444
triangular,vertex,ec,64,172,3.702283367,0.4692149622
triangular,vertex,ec,64,173,3.700201909,0.4654163603
triangular,vertex,ec,64,174,3.701892915,0.4651276132
triangular,vertex,ec,64,175,3.701282374,0.4719219018
triangular,vertex,ec,64,176,3.700531984,0.459218977
triangular,vertex,ec,64,177,3.701072234,0.4706190068
triangular,vertex,ec,64,178,3.702083125,0.4619026541
triangular,vertex,ec,64,179,3.702233304,0.4621811476
triangular,vertex,ec,64,180,3.701952979,0.4539283817
triangular,vertex,ec,64,181,3.702794082,0.4585302162
triangular,vertex,ec,64,182,3.701362433,0.4633022213
triangular,vertex,ec,64,183,3.701072234,0.4658937429
triangular,vertex,ec,64,184,3.700992187,0.464822787
triangular,vertex,ec,64,185,3.702033068,0.4643877001
triangular,vertex,ec,64,186,3.701202318,0.45784717
triangular,vertex,ec,64,187,3.701402464,0.465992014
triangular,vertex,ec,64,188,3.699851893,0.469830852
triangular,vertex,ec,64,189,3.702423549,0.4625726283
triangular,vertex,ec,64,190,3.70196299,0.466263703
triangular,vertex,ec,64,191,3.701772793,0.4559934821
triangular,vertex,ec,64,192,3.702033068,0.4685333948
triangular,vertex,ec,64,193,3.701822843,0.4613977984
triangular,vertex,ec,64,194,3.700592004,0.466169798
triangular,vertex,ec,64,195,3.702063102,0.4562649105
