lattice_type,representation,variant,L,bootstrap,Tc,chi_c
triangular,vertex,m,64,0,3.694170919,41.24128895
triangular,vertex,m,64,1,3.693154381,41.5781559
triangular,vertex,m,64,2,3.69409117,41.84599464
triangular,vertex,m,64,3,3.693832011,41.72375399
triangular,vertex,m,64,4,3.693064713,41.65388339
triangular,vertex,m,64,5,3.692755891,41.83260098
triangular,vertex,m,64,6,3.693483199,42.18256597
triangular,vertex,m,64,7,3.694061265,41.85429745
triangular,vertex,m,64,8,3.693881846,41.48210167
triangular,vertex,m,64,9,3.692646321,42.18644329
triangular,vertex,m,64,10,3.693473234,42.24441081
triangular,vertex,m,64,11,3.694121076,41.82442928
triangular,vertex,m,64,12,3.694180888,41.70211859
triangular,vertex,m,64,13,3.693712411,42.0914003
triangular,vertex,m,64,14,3.694131044,41.41490261
triangular,vertex,m,64,15,3.693393516,41.67200823
triangular,vertex,m,64,16,3.694709313,41.9313033
triangular,vertex,m,64,17,3.691779954,42.23054874
triangular,vertex,m,64,18,3.693682512,41.54837058
triangular,vertex,m,64,19,3.695906306,41.37270546
triangular,vertex,m,64,20,3.694340397,41.67079442
triangular,vertex,m,64,21,3.695986134,41.80478254
triangular,vertex,m,64,22,3.694828978,41.31141238
triangular,vertex,m,64,23,3.694170919,42.08460491
triangular,vertex,m,64,24,3.692546718,42.54734599
triangular,vertex,m,64,25,3.693822044,42.13042795
triangular,vertex,m,64,26,3.692785774,41.87025405
triangular,vertex,m,64,27,3.693323765,41.33627684
triangular,vertex,m,64,28,3.692795736,42.33593537
triangular,vertex,m,64,29,3.695527175,41.39035747
triangular,vertex,m,64,30,3.694669427,41.67289146
triangular,vertex,m,64,31,3.694350366,41.99845744
triangular,vertex,m,64,32,3.692726007,42.21797862
triangular,vertex,m,64,33,3.694440097,41.93335678
triangular,vertex,m,64,34,3.694061265,42.0352091
triangular,vertex,m,64,35,3.692915276,42.13913
triangular,vertex,m,64,36,3.69350313,42.34010927
triangular,vertex,m,64,37,3.692696125,41.4085843
triangular,vertex,m,64,38,3.692257899,42.41303148
triangular,vertex,m,64,39,3.695217941,41.9378796
triangular,vertex,m,64,40,3.693632682,41.94502698
triangular,vertex,m,64,41,3.69244712,42.01029758
triangular,vertex,m,64,42,3.693921716,41.46329811
triangular,vertex,m,64,43,3.69282562,41.58338278
triangular,vertex,m,64,44,3.693712411,42.28347771
triangular,vertex,m,64,45,3.695168069,41.81633388
triangular,vertex,m,64,46,3.694290549,41.338388
triangular,vertex,m,64,47,3.693951618,41.52748059
triangular,vertex,m,64,48,3.692805697,41.55092054
triangular,vertex,m,64,49,3.693144417,42.2655161
triangular,vertex,m,64,50,3.694240702,41.60689933
triangular,vertex,m,64,51,3.693144417,41.89471061
triangular,vertex,m,64,52,3.693234089,42.25473202
triangular,vertex,m,64,53,3.6926264,41.78069848
triangular,vertex,m,64,54,3.694101139,41.75976764
triangular,vertex,m,64,55,3.694978569,42.0440684
triangular,vertex,m,64,56,3.692357487,41.78307689
triangular,vertex,m,64,57,3.694450067,41.90071307
triangular,vertex,m,64,58,3.693851945,41.97841021
triangular,vertex,m,64,59,3.694420156,41.62482184
triangular,vertex,m,64,60,3.692915276,42.11502912
triangular,vertex,m,64,61,3.693901781,41.88203901
triangular,vertex,m,64,62,3.693094602,42.1591581
triangular,vertex,m,64,63,3.694041329,41.52264943
triangular,vertex,m,64,64,3.695337638,42.57300567
triangular,vertex,m,64,65,3.694131044,41.63367763
triangular,vertex,m,64,66,3.692706085,42.16222716
triangular,vertex,m,64,67,3.694848922,42.01543876
triangular,vertex,m,64,68,3.692805697,41.82976606
triangular,vertex,m,64,69,3.693582853,42.10117707
triangular,vertex,m,64,70,3.694041329,41.90843218
triangular,vertex,m,64,71,3.694579685,41.83506382
triangular,vertex,m,64,72,3.693343693,41.45508694
triangular,vertex,m,64,73,3.693881846,42.2657344
triangular,vertex,m,64,74,3.69450989,41.93802386
triangular,vertex,m,64,75,3.693832011,42.46098714
triangular,vertex,m,64,76,3.694071234,41.48551779
triangular,vertex,m,64,77,3.694828978,42.15350018
triangular,vertex,m,64,78,3.69427061,42.04419435
triangular,vertex,m,64,79,3.694799061,42.28291475
triangular,vertex,m,64,80,3.694360336,41.37751846
triangular,vertex,m,64,81,3.694489948,41.81236373
triangular,vertex,m,64,82,3.694669427,42.49945726
triangular,vertex,m,64,83,3.695207966,41.85451429
triangular,vertex,m,64,84,3.69494865,41.97386091
triangular,vertex,m,64,85,3.693722377,41.7197674
triangular,vertex,m,64,86,3.694380276,41.85801294
triangular,vertex,m,64,87,3.694051297,41.63179037
triangular,vertex,m,64,88,3.694639512,42.03357824
triangular,vertex,m,64,89,3.693702445,42.11395842
triangular,vertex,m,64,90,3.694220764,41.78960722
triangular,vertex,m,64,91,3.694370306,41.32140908
triangular,vertex,m,64,92,3.694390246,41.9493951
triangular,vertex,m,64,93,3.693792143,41.18262087
triangular,vertex,m,64,94,3.692008954,41.7925621
triangular,vertex,m,64,95,3.693124491,41.90144735
triangular,vertex,m,64,96,3.695307713,41.23659967
triangular,vertex,m,64,97,3.69506833,41.5941893
triangular,vertex,m,64,98,3.692785774,42.17305491
triangular,vertex,m,64,99,3.692835582,41.57004142
triangular,vertex,m,64,100,3.693732344,41.55759971
triangular,vertex,m,64,101,3.693383551,42.97087922
triangular,vertex,m,64,102,3.693323765,41.44852275
triangular,vertex,m,64,103,3.694639512,41.61890258
triangular,vertex,m,64,104,3.693792143,41.95719472
triangular,vertex,m,64,105,3.694031361,41.59868644
triangular,vertex,m,64,106,3.695387514,42.0962215
triangular,vertex,m,64,107,3.694340397,41.9962716
triangular,vertex,m,64,108,3.692686164,41.79179848
triangular,vertex,m,64,109,3.694470008,42.108919
triangular,vertex,m,64,110,3.694470008,41.44134971
triangular,vertex,m,64,111,3.694350366,41.33230432
triangular,vertex,m,64,112,3.694410186,41.6109629
triangular,vertex,m,64,113,3.69380211,41.56166736
triangular,vertex,m,64,114,3.693562922,41.17604958
triangular,vertex,m,64,115,3.692785774,41.18154358
triangular,vertex,m,64,116,3.693154381,42.13448926
triangular,vertex,m,64,117,3.694420156,42.02492558
triangular,vertex,m,64,118,3.694001457,41.75472124
triangular,vertex,m,64,119,3.692646321,42.30518618
triangular,vertex,m,64,120,3.69366258,41.97991404
triangular,vertex,m,64,121,3.693622716,41.91706839
triangular,vertex,m,64,122,3.693582853,41.71397346
triangular,vertex,m,64,123,3.694759172,41.81786658
triangular,vertex,m,64,124,3.693254016,42.1874599
triangular,vertex,m,64,125,3.694539802,41.35130893
triangular,vertex,m,64,126,3.694978569,42.42174053
triangular,vertex,m,64,127,3.694001457,42.17714647
triangular,vertex,m,64,128,3.69366258,42.52790007
triangular,vertex,m,64,129,3.69245708,41.9564684
triangular,vertex,m,64,130,3.694559744,42.00707937
triangular,vertex,m,64,131,3.695736685,41.66386521
triangular,vertex,m,64,132,3.691640576,42.14970358
triangular,vertex,m,64,133,3.694101139,41.78065139
triangular,vertex,m,64,134,3.693393516,42.0162276
triangular,vertex,m,64,135,3.693024862,41.9867983
triangular,vertex,m,64,136,3.693034825,42.11974156
triangular,vertex,m,64,137,3.694908758,41.67849173
triangular,vertex,m,64,138,3.692586558,41.4327097
triangular,vertex,m,64,139,3.693433375,42.14670608
triangular,vertex,m,64,140,3.693333729,41.58575097
triangular,vertex,m,64,141,3.693104565,42.02288223
triangular,vertex,m,64,142,3.691720219,42.03297474
triangular,vertex,m,64,143,3.694828978,42.28419408
triangular,vertex,m,64,144,3.693712411,41.79398416
triangular,vertex,m,64,145,3.694420156,41.92554719
triangular,vertex,m,64,146,3.694330427,41.43675914
triangular,vertex,m,64,147,3.693254016,41.7562855
triangular,vertex,m,64,148,3.692257899,42.04150719
triangular,vertex,m,64,149,3.695417441,41.74771023
triangular,vertex,m,64,150,3.693493165,41.68154187
triangular,vertex,m,64,151,3.693792143,41.76867583
triangular,vertex,m,64,152,3.69483895,41.65412011
triangular,vertex,m,64,153,3.694799061,41.94420694
triangular,vertex,m,64,154,3.695417441,41.75089011
triangular,vertex,m,64,155,3.693353658,41.9667188
triangular,vertex,m,64,156,3.694150982,41.88465519
triangular,vertex,m,64,157,3.693353658,42.1739667
triangular,vertex,m,64,158,3.694679398,42.11981835
triangular,vertex,m,64,159,3.694430126,41.13616261
triangular,vertex,m,64,160,3.693851945,41.34966912
triangular,vertex,m,64,161,3.69288539,41.9510358
triangular,vertex,m,64,162,3.695357588,40.90266373
triangular,vertex,m,64,163,3.693463269,42.3046946
triangular,vertex,m,64,164,3.693582853,41.38614697
triangular,vertex,m,64,165,3.693672546,41.96529061
triangular,vertex,m,64,166,3.693921716,42.14874848
triangular,vertex,m,64,167,3.694051297,41.64944619
triangular,vertex,m,64,168,3.69342341,41.75659083
triangular,vertex,m,64,169,3.693064713,41.79970602
triangular,vertex,m,64,170,3.694420156,41.86965404
triangular,vertex,m,64,171,3.694699341,41.76119699
triangular,vertex,m,64,172,3.693881846,42.37601194
triangular,vertex,m,64,173,3.692536758,42.3232088
triangular,vertex,m,64,174,3.693931683,42.01360697
triangular,vertex,m,64,175,3.693562922,42.76873204
triangular,vertex,m,64,176,3.693024862,41.79992745
triangular,vertex,m,64,177,3.692965087,42.62213527
triangular,vertex,m,64,178,3.693931683,41.62347599
triangular,vertex,m,64,179,3.69361275,41.76634662
triangular,vertex,m,64,180,3.693841978,41.2340249
