lattice_type,representation,variant,L,Tc,Tc_std,chi_c,chi_c_std,N_boot
triangular,vertex,ec,64,3.701819442,0.0009707755772,0.4621383017,0.00383770097,200
triangular,vertex,ec,96,3.6785366,0.0008242170559,0.8897474457,0.009603188394,200
triangular,vertex,ec,128,3.668265683,0.0006591755562,1.443439995,0.01446390393,200
triangular,vertex,ec,192,3.659218692,0.0004412507782,2.893172763,0.0335567284,200
triangular,vertex,ec,256,3.653915839,0.0002859463474,4.760107787,0.04260293893,190
triangular,vertex,ec,384,3.649709089,0.0002504076248,9.566063461,0.1142749178,200
triangular,vertex,ec,512,3.647996001,0.0002110145119,15.86300492,0.2206049425,200
triangular,vertex,ec,768,3.645685236,0.0001762790784,32.53498431,0.5461268736,200
triangular,vertex,ec,1024,3.64417186,0.0001473685156,52.71331379,1.02205734,200
triangular,vertex,ec,1536,3.643085208,0.000124182683,105.8122238,2.607659762,200
triangular,vertex,ec,2048,3.642497511,0.0001167818967,176.4413223,4.885496685,200
triangular,vertex,ec,3072,3.64201967,6.903896013e-05,369.2748566,13.38448609,200
