lattice_type,representation,variant,L,Tc,Tc_std,chi_c,chi_c_std,N_boot
triangular,vertex,m,64,3.693841678,0.0008593339417,41.86594427,0.3477542185,200
triangular,vertex,m,96,3.674848528,0.0008240485164,84.89474423,0.9051645334,200
triangular,vertex,m,128,3.666339214,0.0006466966183,141.3728928,1.433139441,200
triangular,vertex,m,192,3.658356455,0.0004350924982,288.8718523,3.477846981,200
triangular,vertex,m,256,3.653425735,0.0002876853635,481.2798495,4.254580963,190
triangular,vertex,m,384,3.649501449,0.0002458588901,973.4121073,11.74270595,200
triangular,vertex,m,512,3.647880181,0.0002129372083,1621.863362,22.55676584,200
triangular,vertex,m,768,3.64563281,0.00017880504,3347.368835,56.10704693,200
triangular,vertex,m,1024,3.644142314,0.0001473234071,5443.119902,105.7388057,200
triangular,vertex,m,1536,3.643071454,0.000124414616,10944.82504,269.6367741,200
triangular,vertex,m,2048,3.642488561,0.0001167090063,18283.50476,507.9627363,200
triangular,vertex,m,3072,3.642017321,6.874519107e-05,38322.23901,1386.554838,200
