lattice_type,representation,L,T,observable,mean,jackknife_se,n_samples
square,cell,3072,2.22,abs_ec_sym,277630.3875,44.7248876,200
square,cell,3072,2.2205,abs_ec_sym,277602.9,44.05663569,200
square,cell,3072,2.221,abs_ec_sym,277491.165,49.08621314,200
square,cell,3072,2.2215,abs_ec_sym,277414.7975,43.76992369,200
square,cell,3072,2.222,abs_ec_sym,277392.7325,47.33953999,200
square,cell,3072,2.2225,abs_ec_sym,277182.0975,48.18577347,200
square,cell,3072,2.223,abs_ec_sym,277182.93,46.74082745,200
square,cell,3072,2.2235,abs_ec_sym,277074.4325,46.3509551,200
square,cell,3072,2.224,abs_ec_sym,277034.77,47.15117685,200
square,cell,3072,2.2245,abs_ec_sym,276921.1175,46.77488911,200
square,cell,3072,2.225,abs_ec_sym,276786.725,50.66604373,200
square,cell,3072,2.2255,abs_ec_sym,276693.37,54.6869715,200
square,cell,3072,2.226,abs_ec_sym,276483.945,56.11235933,200
square,cell,3072,2.2265,abs_ec_sym,276515.6075,46.90514135,200
square,cell,3072,2.227,abs_ec_sym,276268.3075,47.50348793,200
square,cell,3072,2.2275,abs_ec_sym,276161.7275,51.75572114,200
square,cell,3072,2.228,abs_ec_sym,276050.2225,48.97375742,200
square,cell,3072,2.2285,abs_ec_sym,275842.24,58.88843745,200
square,cell,3072,2.229,abs_ec_sym,275790.8675,53.298177,200
square,cell,3072,2.2295,abs_ec_sym,275563.4225,53.21281596,200
square,cell,3072,2.23,abs_ec_sym,275425.4425,53.91091423,200
square,cell,3072,2.2305,abs_ec_sym,275362.755,55.93534281,200
square,cell,3072,2.231,abs_ec_sym,275180.24,57.36450805,200
square,cell,3072,2.2315,abs_ec_sym,274937.0375,50.9217701,200
square,cell,3072,2.232,abs_ec_sym,274795.2925,52.01440891,200
square,cell,3072,2.2325,abs_ec_sym,274627.6175,52.44818991,200
square,cell,3072,2.233,abs_ec_sym,274409.8325,58.5490231,200
square,cell,3072,2.2335,abs_ec_sym,274052.1575,54.63833908,200
square,cell,3072,2.234,abs_ec_sym,274014.35,55.99742546,200
square,cell,3072,2.2345,abs_ec_sym,273683.0675,60.20222367,200
square,cell,3072,2.235,abs_ec_sym,273528.3725,60.07890864,200
square,cell,3072,2.2355,abs_ec_sym,273288.74,63.77382784,200
square,cell,3072,2.236,abs_ec_sym,273140.4675,56.50485505,200
square,cell,3072,2.2365,abs_ec_sym,272814.95,68.40348628,200
square,cell,3072,2.237,abs_ec_sym,272457.1475,65.51347552,200
square,cell,3072,2.2375,abs_ec_sym,272263.2275,62.88743841,200
square,cell,3072,2.238,abs_ec_sym,272055.7125,66.69655102,200
square,cell,3072,2.2385,abs_ec_sym,271885.01,65.04335479,200
square,cell,3072,2.239,abs_ec_sym,271566.3725,63.4791046,200
square,cell,3072,2.2395,abs_ec_sym,271184.8975,69.14032835,200
square,cell,3072,2.24,abs_ec_sym,270854.85,64.57043717,200
square,cell,3072,2.2405,abs_ec_sym,270728.9475,70.26823172,200
square,cell,3072,2.241,abs_ec_sym,270252.1675,74.78033042,200
square,cell,3072,2.2415,abs_ec_sym,269949.705,71.1051459,200
square,cell,3072,2.242,abs_ec_sym,269616.0225,72.5788196,200
square,cell,3072,2.2425,abs_ec_sym,269267.1025,67.85385542,200
square,cell,3072,2.243,abs_ec_sym,268907.1375,71.65196206,200
square,cell,3072,2.2435,abs_ec_sym,268367.855,76.58628863,200
square,cell,3072,2.244,abs_ec_sym,268192.8525,76.42124068,200
square,cell,3072,2.2445,abs_ec_sym,267765.7575,82.64183399,200
square,cell,3072,2.245,abs_ec_sym,267304.9425,87.16722227,200
square,cell,3072,2.2455,abs_ec_sym,266700.51,75.20573749,200
square,cell,3072,2.246,abs_ec_sym,266395.42,78.2548696,200
square,cell,3072,2.2465,abs_ec_sym,265940.1325,75.79546586,200
square,cell,3072,2.247,abs_ec_sym,265584.45,85.6867996,200
square,cell,3072,2.2475,abs_ec_sym,264946.9875,88.57974521,200
square,cell,3072,2.248,abs_ec_sym,264439.9275,84.93926913,200
square,cell,3072,2.2485,abs_ec_sym,263854.4375,85.36364792,200
square,cell,3072,2.249,abs_ec_sym,263433.1325,86.9437676,200
square,cell,3072,2.2495,abs_ec_sym,263002.155,95.18292633,200
square,cell,3072,2.25,abs_ec_sym,262184.5675,94.84739016,200
square,cell,3072,2.2505,abs_ec_sym,261747.7975,92.28237159,200
square,cell,3072,2.251,abs_ec_sym,261158.56,103.1166639,200
square,cell,3072,2.2515,abs_ec_sym,260257.84,98.45139962,200
square,cell,3072,2.252,abs_ec_sym,259776.1175,100.4801202,200
square,cell,3072,2.2525,abs_ec_sym,258901.4025,104.8330517,200
square,cell,3072,2.253,abs_ec_sym,258260.3375,108.0331233,200
square,cell,3072,2.2535,abs_ec_sym,257538.9225,118.4526704,200
square,cell,3072,2.254,abs_ec_sym,256674.9325,122.2431406,200
square,cell,3072,2.2545,abs_ec_sym,255947.2475,117.7456102,200
square,cell,3072,2.255,abs_ec_sym,255022.2,145.432116,200
square,cell,3072,2.2555,abs_ec_sym,254101.93,124.9384775,200
square,cell,3072,2.256,abs_ec_sym,253241.2525,127.1860549,200
square,cell,3072,2.2565,abs_ec_sym,252179.9075,130.8396043,200
square,cell,3072,2.257,abs_ec_sym,251187.165,151.377795,200
square,cell,3072,2.2575,abs_ec_sym,250446.1475,147.0142137,200
square,cell,3072,2.258,abs_ec_sym,248965.145,152.0090053,200
square,cell,3072,2.2585,abs_ec_sym,247704.315,164.0402194,200
square,cell,3072,2.259,abs_ec_sym,246950.94,168.7238666,200
square,cell,3072,2.2595,abs_ec_sym,245326.435,180.8013464,200
square,cell,3072,2.26,abs_ec_sym,244292.5675,195.0420579,200
square,cell,3072,2.2605,abs_ec_sym,242535.3325,184.9728177,200
square,cell,3072,2.261,abs_ec_sym,240681.535,200.0682371,200
square,cell,3072,2.2615,abs_ec_sym,239310.4675,206.9494411,200
square,cell,3072,2.262,abs_ec_sym,237403.1825,215.5877409,200
square,cell,3072,2.2625,abs_ec_sym,235818.51,230.3472418,200
square,cell,3072,2.263,abs_ec_sym,233565.22,272.296632,200
square,cell,3072,2.2635,abs_ec_sym,231462.6625,303.7235764,200
square,cell,3072,2.264,abs_ec_sym,229374.7775,310.7286132,200
square,cell,3072,2.2645,abs_ec_sym,226604.46,304.3059788,200
square,cell,3072,2.265,abs_ec_sym,223685.055,335.2244924,200
square,cell,3072,2.2655,abs_ec_sym,219884.475,442.614951,200
square,cell,3072,2.266,abs_ec_sym,216296.5575,464.0259392,200
square,cell,3072,2.2665,abs_ec_sym,211780.7325,516.3875536,200
square,cell,3072,2.267,abs_ec_sym,207146.0425,748.5433734,200
