lattice_type,representation,L,T,observable,mean,jackknife_se,n_samples
square,cell,3072,2.22,abs_magnetization,7109962.06,932.6310969,200
square,cell,3072,2.2205,abs_magnetization,7102179.52,962.9806278,200
square,cell,3072,2.221,abs_magnetization,7092913.13,1088.001426,200
square,cell,3072,2.2215,abs_magnetization,7084303.99,980.7261692,200
square,cell,3072,2.222,abs_magnetization,7075414.41,1074.088965,200
square,cell,3072,2.2225,abs_magnetization,7064290.62,1025.80336,200
square,cell,3072,2.223,abs_magnetization,7056532.36,995.6115596,200
square,cell,3072,2.2235,abs_magnetization,7048553.51,1070.690093,200
square,cell,3072,2.224,abs_magnetization,7038939.16,1070.828477,200
square,cell,3072,2.2245,abs_magnetization,7029849.83,1015.077886,200
square,cell,3072,2.225,abs_magnetization,7019060.61,1071.162489,200
square,cell,3072,2.2255,abs_magnetization,7011572.04,1127.190905,200
square,cell,3072,2.226,abs_magnetization,7001048.46,1157.709113,200
square,cell,3072,2.2265,abs_magnetization,6992642.54,1090.490806,200
square,cell,3072,2.227,abs_magnetization,6979786.33,1082.004537,200
square,cell,3072,2.2275,abs_magnetization,6969709.59,1119.697088,200
square,cell,3072,2.228,abs_magnetization,6960475.64,1100.151081,200
square,cell,3072,2.2285,abs_magnetization,6949315.37,1197.538891,200
square,cell,3072,2.229,abs_magnetization,6940230.99,1165.490954,200
square,cell,3072,2.2295,abs_magnetization,6929387.43,1194.793096,200
square,cell,3072,2.23,abs_magnetization,6918565.97,1216.925739,200
square,cell,3072,2.2305,abs_magnetization,6908578.78,1209.254667,200
square,cell,3072,2.231,abs_magnetization,6896710.22,1199.874058,200
square,cell,3072,2.2315,abs_magnetization,6885978.41,1135.239982,200
square,cell,3072,2.232,abs_magnetization,6876795.74,1187.038561,200
square,cell,3072,2.2325,abs_magnetization,6865049.68,1121.72231,200
square,cell,3072,2.233,abs_magnetization,6852983.3,1308.778101,200
square,cell,3072,2.2335,abs_magnetization,6837539.01,1306.286901,200
square,cell,3072,2.234,abs_magnetization,6829552.51,1202.662242,200
square,cell,3072,2.2345,abs_magnetization,6815296.08,1399.922404,200
square,cell,3072,2.235,abs_magnetization,6804427.54,1380.237989,200
square,cell,3072,2.2355,abs_magnetization,6792521.43,1421.750925,200
square,cell,3072,2.236,abs_magnetization,6781001.24,1277.836831,200
