lattice_type,representation,L,T,observable,mean,jackknife_se,n_samples
square,vertex,3072,2.22,energy,-14312244.54,613.4428891,200
square,vertex,3072,2.2205,energy,-14304724.22,569.1586768,200
square,vertex,3072,2.221,energy,-14297217.76,637.8121301,200
square,vertex,3072,2.2215,energy,-14290083.82,645.9403618,200
square,vertex,3072,2.222,energy,-14281941.96,653.864567,200
square,vertex,3072,2.2225,energy,-14273683.78,643.4275006,200
square,vertex,3072,2.223,energy,-14266745,637.7096403,200
square,vertex,3072,2.2235,energy,-14259648.64,622.4999793,200
square,vertex,3072,2.224,energy,-14252198.22,659.6691686,200
square,vertex,3072,2.2245,energy,-14244370.36,577.5458842,200
square,vertex,3072,2.225,energy,-14235824.44,580.72992,200
square,vertex,3072,2.2255,energy,-14229833.5,597.2498839,200
square,vertex,3072,2.226,energy,-14222416.98,639.9654014,200
square,vertex,3072,2.2265,energy,-14213732.58,657.3024198,200
square,vertex,3072,2.227,energy,-14204917.6,612.4541731,200
square,vertex,3072,2.2275,energy,-14196905.88,598.1167274,200
square,vertex,3072,2.228,energy,-14190026.3,635.9241296,200
square,vertex,3072,2.2285,energy,-14181547.48,591.1088269,200
square,vertex,3072,2.229,energy,-14173608.4,605.2769715,200
square,vertex,3072,2.2295,energy,-14166130.44,616.0931188,200
square,vertex,3072,2.23,energy,-14157584.94,620.0130101,200
square,vertex,3072,2.2305,energy,-14149390.26,666.7754127,200
square,vertex,3072,2.231,energy,-14141075.64,607.9584647,200
square,vertex,3072,2.2315,energy,-14133631.4,610.0171628,200
square,vertex,3072,2.232,energy,-14126197.36,633.3357613,200
square,vertex,3072,2.2325,energy,-14117511.24,588.3148457,200
square,vertex,3072,2.233,energy,-14109629.82,637.770003,200
square,vertex,3072,2.2335,energy,-14100412.42,643.164209,200
square,vertex,3072,2.234,energy,-14092864.32,598.3036512,200
square,vertex,3072,2.2345,energy,-14084267.38,624.1692427,200
square,vertex,3072,2.235,energy,-14075602.6,642.5217034,200
square,vertex,3072,2.2355,energy,-14068117.02,618.5882952,200
square,vertex,3072,2.236,energy,-14058214.24,646.7632504,200
square,vertex,3072,2.2365,energy,-14050400.92,687.4474442,200
square,vertex,3072,2.237,energy,-14041733.78,665.523503,200
square,vertex,3072,2.2375,energy,-14033536.56,654.4675384,200
square,vertex,3072,2.238,energy,-14026226.08,629.2594361,200
square,vertex,3072,2.2385,energy,-14017653.38,634.0581896,200
square,vertex,3072,2.239,energy,-14008014.96,651.2946274,200
square,vertex,3072,2.2395,energy,-13998747,634.0092206,200
square,vertex,3072,2.24,energy,-13991101.48,730.3607371,200
square,vertex,3072,2.2405,energy,-13983031.2,726.2139281,200
square,vertex,3072,2.241,energy,-13972236.04,655.0588892,200
square,vertex,3072,2.2415,energy,-13964589.78,692.5733493,200
square,vertex,3072,2.242,energy,-13955313.24,669.0658997,200
square,vertex,3072,2.2425,energy,-13947059.56,607.8423644,200
square,vertex,3072,2.243,energy,-13937080.02,644.0863605,200
square,vertex,3072,2.2435,energy,-13928696.24,616.5817253,200
square,vertex,3072,2.244,energy,-13920231.66,736.8719408,200
square,vertex,3072,2.2445,energy,-13910645.9,681.5426698,200
square,vertex,3072,2.245,energy,-13900654.88,731.7592416,200
square,vertex,3072,2.2455,energy,-13891753.1,654.6740398,200
square,vertex,3072,2.246,energy,-13882468.26,636.9020568,200
square,vertex,3072,2.2465,energy,-13871893.42,673.3904799,200
square,vertex,3072,2.247,energy,-13865546.5,657.0761301,200
square,vertex,3072,2.2475,energy,-13855206.8,728.0582715,200
