lattice_type,L,T,observable,mean,jackknife_se,n_samples
square,3072,2.22,ec_avg,-17704.2425,8.047131873,200
square,3072,2.2205,ec_avg,-17739.05,7.172086105,200
square,3072,2.221,ec_avg,-17801.435,7.362715312,200
square,3072,2.2215,ec_avg,-17835.4075,8.091910066,200
square,3072,2.222,ec_avg,-17895.4025,8.09105429,200
square,3072,2.2225,ec_avg,-17945.6275,8.390210254,200
square,3072,2.223,ec_avg,-17970.665,7.818870607,200
square,3072,2.2235,ec_avg,-18024.2225,7.474779788,200
square,3072,2.224,ec_avg,-18060.535,7.295129433,200
square,3072,2.2245,ec_avg,-18101.3625,7.379855899,200
square,3072,2.225,ec_avg,-18149.415,7.415748818,200
square,3072,2.2255,ec_avg,-18190.51,7.224775005,200
square,3072,2.226,ec_avg,-18236.39,7.37327883,200
square,3072,2.2265,ec_avg,-18297.6325,7.56298135,200
square,3072,2.227,ec_avg,-18333.6025,7.71333709,200
square,3072,2.2275,ec_avg,-18383.7025,7.471572673,200
square,3072,2.228,ec_avg,-18423.5025,8.537926397,200
square,3072,2.2285,ec_avg,-18473.045,7.699127235,200
square,3072,2.229,ec_avg,-18520.7575,7.948892165,200
square,3072,2.2295,ec_avg,-18574.8625,7.608731873,200
square,3072,2.23,ec_avg,-18623.1075,7.977813832,200
square,3072,2.2305,ec_avg,-18657.295,7.771357498,200
square,3072,2.231,ec_avg,-18713.955,7.678762553,200
square,3072,2.2315,ec_avg,-18759.9125,8.088881597,200
square,3072,2.232,ec_avg,-18800.0675,7.61914713,200
square,3072,2.2325,ec_avg,-18846.5425,7.132422764,200
square,3072,2.233,ec_avg,-18900.1625,7.869710026,200
square,3072,2.2335,ec_avg,-18956.7525,7.957193892,200
square,3072,2.234,ec_avg,-19000.555,7.666508274,200
square,3072,2.2345,ec_avg,-19056.5775,7.79995176,200
square,3072,2.235,ec_avg,-19114.2525,7.516550414,200
square,3072,2.2355,ec_avg,-19148.185,7.770101432,200
square,3072,2.236,ec_avg,-19216.1725,8.27494523,200
square,3072,2.2365,ec_avg,-19240.01,8.248609568,200
square,3072,2.237,ec_avg,-19304.9675,7.98069914,200
square,3072,2.2375,ec_avg,-19358.8325,8.944749644,200
square,3072,2.238,ec_avg,-19398.4525,7.577599059,200
square,3072,2.2385,ec_avg,-19451.145,7.252314299,200
square,3072,2.239,ec_avg,-19504.7025,7.255856323,200
square,3072,2.2395,ec_avg,-19550.7275,7.212176329,200
square,3072,2.24,ec_avg,-19605.72,8.06028763,200
square,3072,2.2405,ec_avg,-19649.8975,8.088269545,200
square,3072,2.241,ec_avg,-19721.1775,8.068116804,200
square,3072,2.2415,ec_avg,-19752.43,7.936576512,200
square,3072,2.242,ec_avg,-19818.1175,7.751907674,200
square,3072,2.2425,ec_avg,-19859.3675,7.670577374,200
square,3072,2.243,ec_avg,-19914.0475,7.883940325,200
square,3072,2.2435,ec_avg,-19957.025,7.731070861,200
square,3072,2.244,ec_avg,-20028.8825,8.091329327,200
square,3072,2.2445,ec_avg,-20070.5475,8.298527597,200
square,3072,2.245,ec_avg,-20132.4725,7.876269298,200
square,3072,2.2455,ec_avg,-20197.53,8.37159339,200
square,3072,2.246,ec_avg,-20246.74,8.048379905,200
square,3072,2.2465,ec_avg,-20302.4925,7.426144293,200
square,3072,2.247,ec_avg,-20342.17,7.999328207,200
square,3072,2.2475,ec_avg,-20402.2525,7.958500242,200
square,3072,2.248,ec_avg,-20459.4325,7.936417142,200
square,3072,2.2485,ec_avg,-20532.7975,7.896446705,200
square,3072,2.249,ec_avg,-20576.0325,8.152268758,200
square,3072,2.2495,ec_avg,-20630.505,8.506381723,200
square,3072,2.25,ec_avg,-20665.4325,9.042269997,200
square,3072,2.2505,ec_avg,-20733.0375,8.051458198,200
square,3072,2.251,ec_avg,-20778.86,8.315906354,200
square,3072,2.2515,ec_avg,-20883.34,8.252191547,200
square,3072,2.252,ec_avg,-20916.1725,7.768875213,200
square,3072,2.2525,ec_avg,-20980.6025,8.284676096,200
square,3072,2.253,ec_avg,-21033.1075,8.421657052,200
square,3072,2.2535,ec_avg,-21088.1475,8.000170222,200
square,3072,2.254,ec_avg,-21141.5925,8.616620959,200
square,3072,2.2545,ec_avg,-21203.3875,9.346371825,200
square,3072,2.255,ec_avg,-21261.65,8.827608445,200
square,3072,2.2555,ec_avg,-21321.435,8.083973,200
square,3072,2.256,ec_avg,-21396.6225,8.589055717,200
square,3072,2.2565,ec_avg,-21448.5875,7.38710036,200
square,3072,2.257,ec_avg,-21507.335,7.723666649,200
square,3072,2.2575,ec_avg,-21570.8775,7.648032802,200
square,3072,2.258,ec_avg,-21641.145,8.380005509,200
square,3072,2.2585,ec_avg,-21712.205,7.863516346,200
square,3072,2.259,ec_avg,-21777.85,8.446677263,200
square,3072,2.2595,ec_avg,-21831.595,8.372930172,200
square,3072,2.26,ec_avg,-21906.1825,9.108762953,200
square,3072,2.2605,ec_avg,-21966.9575,8.533603233,200
square,3072,2.261,ec_avg,-22044.92,7.699373824,200
square,3072,2.2615,ec_avg,-22111.5775,8.745525846,200
square,3072,2.262,ec_avg,-22173.4975,8.789849315,200
square,3072,2.2625,ec_avg,-22230.72,8.336906835,200
square,3072,2.263,ec_avg,-22302.515,9.423128495,200
square,3072,2.2635,ec_avg,-22382.9425,8.93552012,200
square,3072,2.264,ec_avg,-22445.2175,8.09617409,200
square,3072,2.2645,ec_avg,-22528.005,8.377862512,200
square,3072,2.265,ec_avg,-22609.475,9.27464241,200
square,3072,2.2655,ec_avg,-22668.52,8.654795661,200
square,3072,2.266,ec_avg,-22757.5475,8.747427904,200
square,3072,2.2665,ec_avg,-22818.5175,9.949337354,200
square,3072,2.267,ec_avg,-22899.3925,8.046323076,200
square,3072,2.2675,ec_avg,-22972.875,9.219156611,200
square,3072,2.268,ec_avg,-23096.98,9.397835231,200
square,3072,2.2685,ec_avg,-23176.45,9.686273508,200
square,3072,2.269,ec_avg,-23276.0825,9.188022557,200
square,3072,2.2695,ec_avg,-23375.7525,8.992776273,200
square,3072,2.27,ec_avg,-23469.3875,9.122946824,200
square,3072,2.2705,ec_avg,-23579.195,9.290394476,200
square,3072,2.271,ec_avg,-23645.66,8.981760384,200
square,3072,2.2715,ec_avg,-23761.6975,9.156027409,200
square,3072,2.272,ec_avg,-23822.9825,9.293636296,200
square,3072,2.2725,ec_avg,-23911.065,9.636012143,200
square,3072,2.273,ec_avg,-23984.2825,8.982749085,200
square,3072,2.2735,ec_avg,-24048.415,8.715138096,200
square,3072,2.274,ec_avg,-24116.5075,8.683662733,200
square,3072,2.2745,ec_avg,-24186.735,8.83295132,200
square,3072,2.275,ec_avg,-24277.1875,8.655057369,200
square,3072,2.2755,ec_avg,-24367.885,8.268606025,200
square,3072,2.276,ec_avg,-24412.07,9.404023276,200
square,3072,2.2765,ec_avg,-24520.6875,8.325181602,200
square,3072,2.277,ec_avg,-24555.2775,9.930426125,200
square,3072,2.2775,ec_avg,-24628.5225,9.336912277,200
square,3072,2.278,ec_avg,-24687.7025,9.103224412,200
square,3072,2.2785,ec_avg,-24770.5925,9.555175712,200
square,3072,2.279,ec_avg,-24836.7425,9.440977705,200
square,3072,2.2795,ec_avg,-24922.5575,8.829447061,200
square,3072,2.28,ec_avg,-24976.6975,9.671314951,200
square,3072,2.2805,ec_avg,-25033.0875,9.032100373,200
square,3072,2.281,ec_avg,-25121.44,8.702226048,200
square,3072,2.2815,ec_avg,-25156.855,9.234520927,200
square,3072,2.282,ec_avg,-25255.2225,8.778336527,200
square,3072,2.2825,ec_avg,-25315.805,9.228073149,200
square,3072,2.283,ec_avg,-25372.645,8.75448097,200
square,3072,2.2835,ec_avg,-25410.4075,9.439889887,200
square,3072,2.284,ec_avg,-25516.9925,8.644502187,200
square,3072,2.2845,ec_avg,-25556.4525,9.711183263,200
square,3072,2.285,ec_avg,-25632.74,9.306966349,200
square,3072,2.2855,ec_avg,-25711.02,9.680972531,200
square,3072,2.286,ec_avg,-25748.8325,10.09069754,200
square,3072,2.2865,ec_avg,-25836.0925,8.171813209,200
square,3072,2.287,ec_avg,-25887.455,8.857389237,200
square,3072,2.2875,ec_avg,-25939.4,9.023475804,200
square,3072,2.288,ec_avg,-26022.895,9.468157153,200
square,3072,2.2885,ec_avg,-26079.7825,10.24935013,200
square,3072,2.289,ec_avg,-26144.8025,9.512791506,200
square,3072,2.2895,ec_avg,-26218.3575,9.243544792,200
square,3072,2.29,ec_avg,-26262.1875,9.078364471,200
square,3072,2.2905,ec_avg,-26333.3175,9.558415468,200
square,3072,2.291,ec_avg,-26386.61,8.444520509,200
square,3072,2.2915,ec_avg,-26452.95,9.616349144,200
square,3072,2.292,ec_avg,-26499.985,9.271966929,200
square,3072,2.2925,ec_avg,-26579.535,8.849402721,200
square,3072,2.293,ec_avg,-26641.4825,8.340277626,200
square,3072,2.2935,ec_avg,-26684.73,8.888380875,200
square,3072,2.294,ec_avg,-26767.23,8.983454809,200
square,3072,2.2945,ec_avg,-26825.945,8.635634359,200
square,3072,2.295,ec_avg,-26905.1,9.484755688,200
square,3072,2.2955,ec_avg,-26953.28,9.505691657,200
square,3072,2.296,ec_avg,-26996.245,9.779704776,200
square,3072,2.2965,ec_avg,-27050.4,8.950067376,200
square,3072,2.297,ec_avg,-27104.265,9.166467121,200
square,3072,2.2975,ec_avg,-27169.065,9.14459386,200
square,3072,2.298,ec_avg,-27212.145,9.890105704,200
square,3072,2.2985,ec_avg,-27302.39,10.17974338,200
square,3072,2.299,ec_avg,-27348.715,9.677267377,200
square,3072,2.2995,ec_avg,-27405.52,9.282870998,200
square,3072,2.3,ec_avg,-27466.285,9.6902988,200
square,3072,2.3005,ec_avg,-27543.225,9.095770284,200
square,3072,2.301,ec_avg,-27591.985,10.04995119,200
square,3072,2.3015,ec_avg,-27651.6525,9.680980549,200
square,3072,2.302,ec_avg,-27691.5525,9.032968925,200
square,3072,2.3025,ec_avg,-27762.33,9.613828399,200
square,3072,2.303,ec_avg,-27801.975,9.305942305,200
square,3072,2.3035,ec_avg,-27849.185,9.792154914,200
square,3072,2.304,ec_avg,-27933.1125,9.49481903,200
square,3072,2.3045,ec_avg,-27991.8875,9.302522647,200
square,3072,2.305,ec_avg,-28051.855,9.844736618,200
square,3072,2.3055,ec_avg,-28115.415,9.758921385,200
square,3072,2.306,ec_avg,-28161.5075,9.55605354,200
square,3072,2.3065,ec_avg,-28218.8825,8.882664061,200
square,3072,2.307,ec_avg,-28278.08,10.2178952,200
square,3072,2.3075,ec_avg,-28352.285,9.900658263,200
square,3072,2.308,ec_avg,-28385.35,9.611467188,200
square,3072,2.3085,ec_avg,-28451.6525,9.620449846,200
square,3072,2.309,ec_avg,-28522.99,9.421334551,200
square,3072,2.3095,ec_avg,-28582.6275,9.976990486,200
