lattice_type,representation,L,T,observable,mean,jackknife_se,n_samples
triangular,cell,3072,3.62,ec_avg,0,0,200
triangular,cell,3072,3.6205,ec_avg,0,0,200
triangular,cell,3072,3.621,ec_avg,0,0,200
triangular,cell,3072,3.6215,ec_avg,0,0,200
triangular,cell,3072,3.622,ec_avg,0,0,200
triangular,cell,3072,3.6225,ec_avg,0,0,200
triangular,cell,3072,3.623,ec_avg,0,0,200
triangular,cell,3072,3.6235,ec_avg,0,0,200
triangular,cell,3072,3.624,ec_avg,0,0,200
triangular,cell,3072,3.6245,ec_avg,0,0,200
triangular,cell,3072,3.625,ec_avg,0,0,200
triangular,cell,3072,3.6255,ec_avg,0,0,200
triangular,cell,3072,3.626,ec_avg,0,0,200
triangular,cell,3072,3.6265,ec_avg,0,0,200
triangular,cell,3072,3.627,ec_avg,0,0,200
triangular,cell,3072,3.6275,ec_avg,0,0,200
triangular,cell,3072,3.628,ec_avg,0,0,200
triangular,cell,3072,3.6285,ec_avg,0,0,200
triangular,cell,3072,3.629,ec_avg,0,0,200
triangular,cell,3072,3.6295,ec_avg,0,0,200
triangular,cell,3072,3.63,ec_avg,0,0,200
triangular,cell,3072,3.6305,ec_avg,0,0,200
triangular,cell,3072,3.631,ec_avg,0,0,200
triangular,cell,3072,3.6315,ec_avg,0,0,200
triangular,cell,3072,3.632,ec_avg,0,0,200
triangular,cell,3072,3.6325,ec_avg,0,0,200
triangular,cell,3072,3.633,ec_avg,0,0,200
triangular,cell,3072,3.6335,ec_avg,0,0,200
triangular,cell,3072,3.634,ec_avg,0,0,200
triangular,cell,3072,3.6345,ec_avg,0,0,200
triangular,cell,3072,3.635,ec_avg,0,0,200
triangular,cell,3072,3.6355,ec_avg,0,0,200
triangular,cell,3072,3.636,ec_avg,0,0,200
triangular,cell,3072,3.6365,ec_avg,0,0,200
triangular,cell,3072,3.637,ec_avg,0,0,200
triangular,cell,3072,3.6375,ec_avg,0,0,200
triangular,cell,3072,3.638,ec_avg,0,0,200
triangular,cell,3072,3.6385,ec_avg,0,0,200
triangular,cell,3072,3.639,ec_avg,0,0,200
triangular,cell,3072,3.6395,ec_avg,0,0,200
triangular,cell,3072,3.64,ec_avg,0,0,200
triangular,cell,3072,3.6405,ec_avg,0,0,200
triangular,cell,3072,3.641,ec_avg,0,0,200
triangular,cell,3072,3.6415,ec_avg,0,0,200
triangular,cell,3072,3.642,ec_avg,0,0,200
triangular,cell,3072,3.6425,ec_avg,0,0,200
triangular,cell,3072,3.643,ec_avg,0,0,200
triangular,cell,3072,3.6435,ec_avg,0,0,200
triangular,cell,3072,3.644,ec_avg,0,0,200
triangular,cell,3072,3.6445,ec_avg,0,0,200
triangular,cell,3072,3.645,ec_avg,0,0,200
triangular,cell,3072,3.6455,ec_avg,0,0,200
triangular,cell,3072,3.646,ec_avg,0,0,200
triangular,cell,3072,3.6465,ec_avg,0,0,200
triangular,cell,3072,3.647,ec_avg,0,0,200
triangular,cell,3072,3.6475,ec_avg,0,0,200
triangular,cell,3072,3.648,ec_avg,0,0,200
triangular,cell,3072,3.6485,ec_avg,0,0,200
triangular,cell,3072,3.649,ec_avg,0,0,200
triangular,cell,3072,3.6495,ec_avg,0,0,200
triangular,cell,3072,3.65,ec_avg,0,0,200
triangular,cell,3072,3.6505,ec_avg,0,0,200
triangular,cell,3072,3.651,ec_avg,0,0,200
triangular,cell,3072,3.6515,ec_avg,0,0,200
triangular,cell,3072,3.652,ec_avg,0,0,200
triangular,cell,3072,3.6525,ec_avg,0,0,200
triangular,cell,3072,3.653,ec_avg,0,0,200
triangular,cell,3072,3.6535,ec_avg,0,0,200
triangular,cell,3072,3.654,ec_avg,0,0,200
triangular,cell,3072,3.6545,ec_avg,0,0,200
triangular,cell,3072,3.655,ec_avg,0,0,200
triangular,cell,3072,3.6555,ec_avg,0,0,200
triangular,cell,3072,3.656,ec_avg,0,0,200
triangular,cell,3072,3.6565,ec_avg,0,0,200
triangular,cell,3072,3.657,ec_avg,0,0,200
triangular,cell,3072,3.6575,ec_avg,0,0,200
triangular,cell,3072,3.658,ec_avg,0,0,200
triangular,cell,3072,3.6585,ec_avg,0,0,200
triangular,cell,3072,3.659,ec_avg,0,0,200
triangular,cell,3072,3.6595,ec_avg,0,0,200
triangular,cell,3072,3.66,ec_avg,0,0,200
triangular,cell,3072,3.6605,ec_avg,0,0,200
triangular,cell,3072,3.661,ec_avg,0,0,200
triangular,cell,3072,3.6615,ec_avg,0,0,200
triangular,cell,3072,3.662,ec_avg,0,0,200
triangular,cell,3072,3.6625,ec_avg,0,0,200
triangular,cell,3072,3.663,ec_avg,0,0,200
triangular,cell,3072,3.6635,ec_avg,0,0,200
triangular,cell,3072,3.664,ec_avg,0,0,200
triangular,cell,3072,3.6645,ec_avg,0,0,200
triangular,cell,3072,3.665,ec_avg,0,0,200
triangular,cell,3072,3.6655,ec_avg,0,0,200
triangular,cell,3072,3.666,ec_avg,0,0,200
triangular,cell,3072,3.6665,ec_avg,0,0,200
triangular,cell,3072,3.667,ec_avg,0,0,200
triangular,cell,3072,3.6675,ec_avg,0,0,200
triangular,cell,3072,3.668,ec_avg,0,0,200
triangular,cell,3072,3.6685,ec_avg,0,0,200
triangular,cell,3072,3.669,ec_avg,0,0,200
triangular,cell,3072,3.6695,ec_avg,0,0,200
triangular,cell,3072,3.67,ec_avg,0,0,200
triangular,cell,3072,3.6705,ec_avg,0,0,200
triangular,cell,3072,3.671,ec_avg,0,0,200
triangular,cell,3072,3.6715,ec_avg,0,0,200
triangular,cell,3072,3.672,ec_avg,0,0,200
triangular,cell,3072,3.6725,ec_avg,0,0,200
triangular,cell,3072,3.673,ec_avg,0,0,200
triangular,cell,3072,3.6735,ec_avg,0,0,200
triangular,cell,3072,3.674,ec_avg,0,0,200
triangular,cell,3072,3.6745,ec_avg,0,0,200
triangular,cell,3072,3.675,ec_avg,0,0,200
triangular,cell,3072,3.6755,ec_avg,0,0,200
triangular,cell,3072,3.676,ec_avg,0,0,200
triangular,cell,3072,3.6765,ec_avg,0,0,200
triangular,cell,3072,3.677,ec_avg,0,0,200
triangular,cell,3072,3.6775,ec_avg,0,0,200
triangular,cell,3072,3.678,ec_avg,0,0,200
triangular,cell,3072,3.6785,ec_avg,0,0,200
triangular,cell,3072,3.679,ec_avg,0,0,200
triangular,cell,3072,3.6795,ec_avg,0,0,200
triangular,cell,3072,3.68,ec_avg,0,0,200
triangular,cell,3072,3.6805,ec_avg,0,0,200
triangular,cell,3072,3.681,ec_avg,0,0,200
triangular,cell,3072,3.6815,ec_avg,0,0,200
triangular,cell,3072,3.682,ec_avg,0,0,200
triangular,cell,3072,3.6825,ec_avg,0,0,200
