lattice_type,representation,L,T,observable,mean,jackknife_se,n_samples
triangular,cell,3072,3.62,energy,-19424976.92,1202.898727,200
triangular,cell,3072,3.6205,energy,-19411166.48,1309.079946,200
triangular,cell,3072,3.621,energy,-19400368.9,1170.235035,200
triangular,cell,3072,3.6215,energy,-19389195.7,1210.686389,200
triangular,cell,3072,3.622,energy,-19380066.1,1175.180676,200
triangular,cell,3072,3.6225,energy,-19367633.74,1253.811984,200
triangular,cell,3072,3.623,energy,-19355690.26,1264.458679,200
triangular,cell,3072,3.6235,energy,-19344667,1088.723761,200
triangular,cell,3072,3.624,energy,-19336481.18,1139.708426,200
triangular,cell,3072,3.6245,energy,-19323119.98,1141.005764,200
triangular,cell,3072,3.625,energy,-19312572.98,1157.296412,200
triangular,cell,3072,3.6255,energy,-19300300.58,1172.069581,200
triangular,cell,3072,3.626,energy,-19287038.2,1239.062122,200
triangular,cell,3072,3.6265,energy,-19276561.38,1392.383798,200
triangular,cell,3072,3.627,energy,-19264705,1229.842076,200
triangular,cell,3072,3.6275,energy,-19254392.02,1285.123029,200
triangular,cell,3072,3.628,energy,-19240743.3,1382.619424,200
triangular,cell,3072,3.6285,energy,-19230079.02,1328.379101,200
triangular,cell,3072,3.629,energy,-19219698.5,1126.078843,200
triangular,cell,3072,3.6295,energy,-19205006.14,1251.859589,200
triangular,cell,3072,3.63,energy,-19192370.98,1297.695011,200
triangular,cell,3072,3.6305,energy,-19181723.06,1214.437474,200
triangular,cell,3072,3.631,energy,-19169081,1353.32111,200
triangular,cell,3072,3.6315,energy,-19156021.04,1306.948404,200
triangular,cell,3072,3.632,energy,-19144326.2,1312.709077,200
triangular,cell,3072,3.6325,energy,-19130604.96,1421.382806,200
triangular,cell,3072,3.633,energy,-19118914.48,1341.315758,200
triangular,cell,3072,3.6335,energy,-19105457.04,1224.6994,200
triangular,cell,3072,3.634,energy,-19091270.14,1251.073311,200
triangular,cell,3072,3.6345,energy,-19079378.26,1427.102748,200
triangular,cell,3072,3.635,energy,-19065502.08,1322.816091,200
triangular,cell,3072,3.6355,energy,-19050970.78,1446.33042,200
triangular,cell,3072,3.636,energy,-19037232.5,1388.35717,200
triangular,cell,3072,3.6365,energy,-19025086.58,1371.34435,200
triangular,cell,3072,3.637,energy,-19005927.64,1325.637799,200
triangular,cell,3072,3.6375,energy,-18994359.68,1467.582475,200
triangular,cell,3072,3.638,energy,-18978356.44,1453.462808,200
triangular,cell,3072,3.6385,energy,-18963346.96,1388.164839,200
triangular,cell,3072,3.639,energy,-18948351.98,1408.667107,200
triangular,cell,3072,3.6395,energy,-18932830,1491.17318,200
triangular,cell,3072,3.64,energy,-18915622.6,1565.378674,200
triangular,cell,3072,3.6405,energy,-18893775.34,1596.599547,200
triangular,cell,3072,3.641,energy,-18875796.84,1572.421854,200
triangular,cell,3072,3.6415,energy,-18857092.94,1736.115222,200
triangular,cell,3072,3.642,energy,-18836456.06,1522.56307,200
triangular,cell,3072,3.6425,energy,-18813757.76,1526.945543,200
triangular,cell,3072,3.643,energy,-18800121.46,1430.849977,200
triangular,cell,3072,3.6435,energy,-18784707.66,1337.825032,200
triangular,cell,3072,3.644,energy,-18765402.86,1444.936059,200
triangular,cell,3072,3.6445,energy,-18749138.58,1476.205581,200
triangular,cell,3072,3.645,energy,-18740073.54,1164.861959,200
triangular,cell,3072,3.6455,energy,-18722352.52,1384.152651,200
triangular,cell,3072,3.646,energy,-18709454.04,1359.814665,200
triangular,cell,3072,3.6465,energy,-18693575.72,1337.401905,200
triangular,cell,3072,3.647,energy,-18682730.76,1424.636846,200
triangular,cell,3072,3.6475,energy,-18668223.6,1395.446174,200
triangular,cell,3072,3.648,energy,-18650148.96,1335.401861,200
triangular,cell,3072,3.6485,energy,-18639501.52,1328.276841,200
triangular,cell,3072,3.649,energy,-18627758.78,1302.228808,200
triangular,cell,3072,3.6495,energy,-18613556.62,1278.104501,200
triangular,cell,3072,3.65,energy,-18600172.66,1297.159763,200
triangular,cell,3072,3.6505,energy,-18591475.16,1257.475176,200
triangular,cell,3072,3.651,energy,-18581755.02,1256.972717,200
triangular,cell,3072,3.6515,energy,-18570651.1,1231.270575,200
triangular,cell,3072,3.652,energy,-18554497.84,1141.043687,200
triangular,cell,3072,3.6525,energy,-18541372.08,1240.609091,200
triangular,cell,3072,3.653,energy,-18530428.56,1246.239534,200
triangular,cell,3072,3.6535,energy,-18520302.7,1208.55097,200
triangular,cell,3072,3.654,energy,-18504669.22,1279.34346,200
triangular,cell,3072,3.6545,energy,-18497129.98,1140.540079,200
triangular,cell,3072,3.655,energy,-18480448.9,1248.222101,200
triangular,cell,3072,3.6555,energy,-18468066.14,1176.679808,200
triangular,cell,3072,3.656,energy,-18458582.98,1339.234179,200
triangular,cell,3072,3.6565,energy,-18444840.84,1205.062871,200
triangular,cell,3072,3.657,energy,-18434574.46,1320.257629,200
triangular,cell,3072,3.6575,energy,-18424902.86,1241.770666,200
triangular,cell,3072,3.658,energy,-18419720.3,1127.323121,200
triangular,cell,3072,3.6585,energy,-18402174.68,1211.464544,200
triangular,cell,3072,3.659,energy,-18392067.5,1097.091492,200
triangular,cell,3072,3.6595,energy,-18378211.7,1293.371649,200
triangular,cell,3072,3.66,energy,-18365993.2,1345.901881,200
triangular,cell,3072,3.6605,energy,-18357154.16,1137.262477,200
triangular,cell,3072,3.661,energy,-18346438.72,1241.777311,200
triangular,cell,3072,3.6615,energy,-18332010.72,1154.832876,200
triangular,cell,3072,3.662,energy,-18329397.68,1156.249506,200
triangular,cell,3072,3.6625,energy,-18312426.28,1130.592205,200
triangular,cell,3072,3.663,energy,-18303863.66,1088.170136,200
triangular,cell,3072,3.6635,energy,-18296218.1,1230.011541,200
triangular,cell,3072,3.664,energy,-18283312.78,1129.568305,200
triangular,cell,3072,3.6645,energy,-18276703.16,1131.419951,200
triangular,cell,3072,3.665,energy,-18265458.78,1169.012458,200
triangular,cell,3072,3.6655,energy,-18249357.96,1112.191854,200
