lattice_type,representation,L,T,observable,mean,jackknife_se,n_samples
triangular,cell,3072,3.62,abs_magnetization,5956341.79,2917.155241,200
triangular,cell,3072,3.6205,abs_magnetization,5939465.7,3118.019053,200
triangular,cell,3072,3.621,abs_magnetization,5913560.08,3120.784861,200
triangular,cell,3072,3.6215,abs_magnetization,5894623.78,3303.809838,200
triangular,cell,3072,3.622,abs_magnetization,5886580.13,3178.209847,200
triangular,cell,3072,3.6225,abs_magnetization,5859919.24,3533.308474,200
triangular,cell,3072,3.623,abs_magnetization,5841144.34,3815.332488,200
triangular,cell,3072,3.6235,abs_magnetization,5820654.51,3466.099861,200
triangular,cell,3072,3.624,abs_magnetization,5806477.07,3622.938897,200
triangular,cell,3072,3.6245,abs_magnetization,5779557.89,3718.849807,200
triangular,cell,3072,3.625,abs_magnetization,5759074.8,3956.168246,200
triangular,cell,3072,3.6255,abs_magnetization,5734414.83,3967.653957,200
triangular,cell,3072,3.626,abs_magnetization,5707007.27,4336.484885,200
triangular,cell,3072,3.6265,abs_magnetization,5687098.67,4863.994608,200
triangular,cell,3072,3.627,abs_magnetization,5658587.6,4511.987938,200
triangular,cell,3072,3.6275,abs_magnetization,5632791.06,4727.383309,200
triangular,cell,3072,3.628,abs_magnetization,5602383.77,4857.075624,200
triangular,cell,3072,3.6285,abs_magnetization,5573588.36,4923.918037,200
triangular,cell,3072,3.629,abs_magnetization,5555969.16,4915.499844,200
triangular,cell,3072,3.6295,abs_magnetization,5520569.87,4793.184439,200
triangular,cell,3072,3.63,abs_magnetization,5492496.04,5242.986537,200
triangular,cell,3072,3.6305,abs_magnetization,5462971.6,5541.685532,200
triangular,cell,3072,3.631,abs_magnetization,5428185.57,5672.991582,200
triangular,cell,3072,3.6315,abs_magnetization,5385666.96,6486.908294,200
triangular,cell,3072,3.632,abs_magnetization,5355102.06,5722.955765,200
triangular,cell,3072,3.6325,abs_magnetization,5318671.7,6541.595132,200
triangular,cell,3072,3.633,abs_magnetization,5275954.65,7240.148464,200
triangular,cell,3072,3.6335,abs_magnetization,5245291.67,7076.589679,200
triangular,cell,3072,3.634,abs_magnetization,5188292.45,7311.099397,200
triangular,cell,3072,3.6345,abs_magnetization,5129765.64,9685.581857,200
triangular,cell,3072,3.635,abs_magnetization,5094075.66,8809.893533,200
triangular,cell,3072,3.6355,abs_magnetization,5034496.2,9798.638846,200
triangular,cell,3072,3.636,abs_magnetization,4961294.85,11537.85289,200
triangular,cell,3072,3.6365,abs_magnetization,4928531.46,10651.62395,200
triangular,cell,3072,3.637,abs_magnetization,4819895.29,14834.12978,200
triangular,cell,3072,3.6375,abs_magnetization,4768030.18,14252.16636,200
triangular,cell,3072,3.638,abs_magnetization,4660007.51,14624.61132,200
triangular,cell,3072,3.6385,abs_magnetization,4536272.12,18322.76994,200
triangular,cell,3072,3.639,abs_magnetization,4447237.82,21703.5657,200
triangular,cell,3072,3.6395,abs_magnetization,4323134.43,26938.98935,200
triangular,cell,3072,3.64,abs_magnetization,4104021.17,39596.38515,200
triangular,cell,3072,3.6405,abs_magnetization,3740145.47,53508.75297,200
triangular,cell,3072,3.641,abs_magnetization,3495244.97,59349.74802,200
triangular,cell,3072,3.6415,abs_magnetization,2919867.92,79302.97991,200
triangular,cell,3072,3.642,abs_magnetization,2433536.82,78832.80858,200
triangular,cell,3072,3.6425,abs_magnetization,1873022.57,81377.16667,200
triangular,cell,3072,3.643,abs_magnetization,1573260.52,67328.59124,200
triangular,cell,3072,3.6435,abs_magnetization,1351660.94,60255.13151,200
triangular,cell,3072,3.644,abs_magnetization,1149916.41,54688.18068,200
triangular,cell,3072,3.6445,abs_magnetization,1049956.21,52263.2942,200
triangular,cell,3072,3.645,abs_magnetization,886599.04,46570.40726,200
triangular,cell,3072,3.6455,abs_magnetization,773797.72,38895.09726,200
triangular,cell,3072,3.646,abs_magnetization,762570.84,39580.88257,200
triangular,cell,3072,3.6465,abs_magnetization,722497.85,35797.691,200
triangular,cell,3072,3.647,abs_magnetization,654156.43,36906.95002,200
triangular,cell,3072,3.6475,abs_magnetization,613744.36,31795.17064,200
triangular,cell,3072,3.648,abs_magnetization,481548.51,26218.5988,200
triangular,cell,3072,3.6485,abs_magnetization,591699.09,32215.72803,200
triangular,cell,3072,3.649,abs_magnetization,485409.19,25557.19946,200
triangular,cell,3072,3.6495,abs_magnetization,496775.11,24690.78644,200
triangular,cell,3072,3.65,abs_magnetization,456235.39,21532.68708,200
triangular,cell,3072,3.6505,abs_magnetization,443055.48,24813.78497,200
triangular,cell,3072,3.651,abs_magnetization,376182.48,21417.26192,200
triangular,cell,3072,3.6515,abs_magnetization,434324.34,24025.71179,200
triangular,cell,3072,3.652,abs_magnetization,369355.47,20377.42193,200
triangular,cell,3072,3.6525,abs_magnetization,355602.64,18476.71147,200
triangular,cell,3072,3.653,abs_magnetization,372573.3,19486.04489,200
triangular,cell,3072,3.6535,abs_magnetization,347969.68,16582.38034,200
triangular,cell,3072,3.654,abs_magnetization,354539.74,18698.71817,200
triangular,cell,3072,3.6545,abs_magnetization,305100.19,15323.93536,200
triangular,cell,3072,3.655,abs_magnetization,298952.9,16458.69795,200
triangular,cell,3072,3.6555,abs_magnetization,300141.24,15524.16797,200
triangular,cell,3072,3.656,abs_magnetization,268010.03,14512.19267,200
triangular,cell,3072,3.6565,abs_magnetization,296606.88,15460.46912,200
triangular,cell,3072,3.657,abs_magnetization,275304.83,14472.74794,200
triangular,cell,3072,3.6575,abs_magnetization,271167.17,13475.24749,200
triangular,cell,3072,3.658,abs_magnetization,250610.11,14296.80573,200
triangular,cell,3072,3.6585,abs_magnetization,272515.38,14877.63609,200
triangular,cell,3072,3.659,abs_magnetization,244962.71,13641.19636,200
triangular,cell,3072,3.6595,abs_magnetization,231854.8,12954.30474,200
triangular,cell,3072,3.66,abs_magnetization,231033.46,11301.7836,200
