lattice_type,representation,L,T,observable,mean,jackknife_se,n_samples
triangular,vertex,3072,3.62,abs_ec_sym,285525.955,147.2010617,200
triangular,vertex,3072,3.6205,abs_ec_sym,284940.44,149.473392,200
triangular,vertex,3072,3.621,abs_ec_sym,283802.68,157.5907325,200
triangular,vertex,3072,3.6215,abs_ec_sym,283017.5,159.5132412,200
triangular,vertex,3072,3.622,abs_ec_sym,282868.66,152.2283937,200
triangular,vertex,3072,3.6225,abs_ec_sym,281698.45,172.5381605,200
triangular,vertex,3072,3.623,abs_ec_sym,281003.28,182.2645138,200
triangular,vertex,3072,3.6235,abs_ec_sym,280181.905,173.8445864,200
triangular,vertex,3072,3.624,abs_ec_sym,279569.24,176.8593225,200
triangular,vertex,3072,3.6245,abs_ec_sym,278496.515,183.1386278,200
triangular,vertex,3072,3.625,abs_ec_sym,277608.56,194.6023663,200
triangular,vertex,3072,3.6255,abs_ec_sym,276518.54,196.3174065,200
triangular,vertex,3072,3.626,abs_ec_sym,275399.345,209.2919975,200
triangular,vertex,3072,3.6265,abs_ec_sym,274591.445,233.29246,200
triangular,vertex,3072,3.627,abs_ec_sym,273367.76,216.4017953,200
triangular,vertex,3072,3.6275,abs_ec_sym,272192.865,228.7884539,200
triangular,vertex,3072,3.628,abs_ec_sym,270998.525,233.230674,200
triangular,vertex,3072,3.6285,abs_ec_sym,269705.19,237.8051601,200
triangular,vertex,3072,3.629,abs_ec_sym,268906.4,243.8528888,200
triangular,vertex,3072,3.6295,abs_ec_sym,267407.385,234.3088726,200
triangular,vertex,3072,3.63,abs_ec_sym,266167.545,249.243108,200
triangular,vertex,3072,3.6305,abs_ec_sym,264950.03,269.9046033,200
triangular,vertex,3072,3.631,abs_ec_sym,263374.89,269.0112996,200
triangular,vertex,3072,3.6315,abs_ec_sym,261426.58,317.4965622,200
triangular,vertex,3072,3.632,abs_ec_sym,260065.94,280.8818267,200
triangular,vertex,3072,3.6325,abs_ec_sym,258425.055,316.3314775,200
triangular,vertex,3072,3.633,abs_ec_sym,256441.955,352.7472709,200
triangular,vertex,3072,3.6335,abs_ec_sym,255208.28,345.6537614,200
triangular,vertex,3072,3.634,abs_ec_sym,252607.51,358.759772,200
triangular,vertex,3072,3.6345,abs_ec_sym,249722,473.3853481,200
triangular,vertex,3072,3.635,abs_ec_sym,248155.87,432.5246668,200
triangular,vertex,3072,3.6355,abs_ec_sym,245418.43,475.2928545,200
triangular,vertex,3072,3.636,abs_ec_sym,241956.21,564.797463,200
triangular,vertex,3072,3.6365,abs_ec_sym,240561.905,521.8123804,200
triangular,vertex,3072,3.637,abs_ec_sym,235361.815,728.6664369,200
