lattice_type,L,T,observable,mean,jackknife_se,n_samples
triangular,3072,3.59,ec_avg,-51646.605,15.48672174,200
triangular,3072,3.5905,ec_avg,-51698.5075,14.67455515,200
triangular,3072,3.591,ec_avg,-51765.4025,15.12598877,200
triangular,3072,3.5915,ec_avg,-51846.375,14.28396101,200
triangular,3072,3.592,ec_avg,-51914.0225,15.29663037,200
triangular,3072,3.5925,ec_avg,-51986.8175,14.91119574,200
triangular,3072,3.593,ec_avg,-52033.7475,14.93718296,200
triangular,3072,3.5935,ec_avg,-52127.795,14.75355684,200
triangular,3072,3.594,ec_avg,-52202.3225,14.51911835,200
triangular,3072,3.5945,ec_avg,-52282.9825,15.84937556,200
triangular,3072,3.595,ec_avg,-52351.075,15.18358292,200
triangular,3072,3.5955,ec_avg,-52414.5075,14.77934415,200
triangular,3072,3.596,ec_avg,-52501.7475,14.2953409,200
triangular,3072,3.5965,ec_avg,-52574.755,15.20911233,200
triangular,3072,3.597,ec_avg,-52616.2075,14.43994985,200
triangular,3072,3.5975,ec_avg,-52714.1825,16.07397049,200
triangular,3072,3.598,ec_avg,-52770.005,14.55353054,200
triangular,3072,3.5985,ec_avg,-52849.36,14.78926303,200
triangular,3072,3.599,ec_avg,-52932.25,15.57153456,200
triangular,3072,3.5995,ec_avg,-52988.7275,15.30300484,200
triangular,3072,3.6,ec_avg,-53074.3425,16.08174102,200
triangular,3072,3.6005,ec_avg,-53121.63,14.93933765,200
triangular,3072,3.601,ec_avg,-53229.47,14.68480124,200
triangular,3072,3.6015,ec_avg,-53330.08,15.2406749,200
triangular,3072,3.602,ec_avg,-53387.9625,14.68258503,200
triangular,3072,3.6025,ec_avg,-53443.58,14.60006558,200
triangular,3072,3.603,ec_avg,-53520.65,14.36378621,200
triangular,3072,3.6035,ec_avg,-53610.0675,13.66833431,200
triangular,3072,3.604,ec_avg,-53674.09,14.71430216,200
triangular,3072,3.6045,ec_avg,-53745.565,14.67173697,200
triangular,3072,3.605,ec_avg,-53848.875,14.15461009,200
triangular,3072,3.6055,ec_avg,-53936.3275,14.35724459,200
triangular,3072,3.606,ec_avg,-53995.325,15.46295287,200
triangular,3072,3.6065,ec_avg,-54110.775,15.20134455,200
triangular,3072,3.607,ec_avg,-54165.705,15.1356966,200
triangular,3072,3.6075,ec_avg,-54211.8475,14.9830877,200
triangular,3072,3.608,ec_avg,-54285.595,13.74125733,200
triangular,3072,3.6085,ec_avg,-54383.0675,14.51660056,200
triangular,3072,3.609,ec_avg,-54453.98,16.32525591,200
triangular,3072,3.6095,ec_avg,-54520.0025,16.5607802,200
triangular,3072,3.61,ec_avg,-54618.735,15.89809884,200
triangular,3072,3.6105,ec_avg,-54706.95,13.5068436,200
triangular,3072,3.611,ec_avg,-54765.125,15.13453145,200
triangular,3072,3.6115,ec_avg,-54866.45,15.79443282,200
triangular,3072,3.612,ec_avg,-54950.0475,15.87777934,200
triangular,3072,3.6125,ec_avg,-55025.5275,15.58108278,200
triangular,3072,3.613,ec_avg,-55115.5725,13.97820782,200
triangular,3072,3.6135,ec_avg,-55181.41,13.63251441,200
triangular,3072,3.614,ec_avg,-55281.8375,15.01821714,200
triangular,3072,3.6145,ec_avg,-55345.8025,16.72234081,200
triangular,3072,3.615,ec_avg,-55424.755,15.89499937,200
triangular,3072,3.6155,ec_avg,-55483.8375,14.0388956,200
triangular,3072,3.616,ec_avg,-55609.355,16.56801142,200
triangular,3072,3.6165,ec_avg,-55687.545,15.92442152,200
triangular,3072,3.617,ec_avg,-55767.1825,16.00839846,200
triangular,3072,3.6175,ec_avg,-55857.9475,15.96664134,200
