lattice_type,L,T,observable,mean,jackknife_se,n_samples
triangular,3072,3.59,energy,-19991534.06,1090.385899,200
triangular,3072,3.5905,energy,-19985120.36,1034.03807,200
triangular,3072,3.591,energy,-19976365.34,1033.929895,200
triangular,3072,3.5915,energy,-19967570.64,967.7465603,200
triangular,3072,3.592,energy,-19958548.4,949.6541271,200
triangular,3072,3.5925,energy,-19948164.44,1073.456617,200
triangular,3072,3.593,energy,-19941440.18,1049.893864,200
triangular,3072,3.5935,energy,-19932175.04,1063.997635,200
triangular,3072,3.594,energy,-19922839.36,1023.034549,200
triangular,3072,3.5945,energy,-19913466.12,1042.736934,200
triangular,3072,3.595,energy,-19905493.68,1020.951143,200
triangular,3072,3.5955,energy,-19893946.68,976.9828205,200
triangular,3072,3.596,energy,-19885663.18,986.6238031,200
triangular,3072,3.5965,energy,-19877269.14,1081.186422,200
triangular,3072,3.597,energy,-19869656.32,1106.019638,200
triangular,3072,3.5975,energy,-19862453.52,1058.736716,200
triangular,3072,3.598,energy,-19850939.4,1150.334632,200
triangular,3072,3.5985,energy,-19843217.82,1098.968544,200
triangular,3072,3.599,energy,-19832956.86,1084.902647,200
triangular,3072,3.5995,energy,-19824322.3,1130.303095,200
triangular,3072,3.6,energy,-19814793.38,1185.502706,200
triangular,3072,3.6005,energy,-19808423.96,1119.999901,200
triangular,3072,3.601,energy,-19795721.94,1047.078181,200
triangular,3072,3.6015,energy,-19788222.84,1111.076896,200
triangular,3072,3.602,energy,-19777319.26,1059.035718,200
triangular,3072,3.6025,energy,-19770629.5,1038.271562,200
triangular,3072,3.603,energy,-19760184.28,1059.599081,200
triangular,3072,3.6035,energy,-19750346.86,994.8683068,200
triangular,3072,3.604,energy,-19741684.24,1097.963067,200
triangular,3072,3.6045,energy,-19731592.26,1057.754961,200
triangular,3072,3.605,energy,-19722069.18,1109.524726,200
triangular,3072,3.6055,energy,-19712121.22,1085.15369,200
triangular,3072,3.606,energy,-19703244.44,1091.818907,200
triangular,3072,3.6065,energy,-19692357.88,1122.200746,200
triangular,3072,3.607,energy,-19683195.72,1143.818235,200
triangular,3072,3.6075,energy,-19676161.1,1073.583803,200
triangular,3072,3.608,energy,-19665865.98,1178.830916,200
triangular,3072,3.6085,energy,-19655510.98,1142.288411,200
triangular,3072,3.609,energy,-19645596.44,1232.065708,200
triangular,3072,3.6095,energy,-19635833.44,1093.670615,200
triangular,3072,3.61,energy,-19626416.12,1108.629959,200
triangular,3072,3.6105,energy,-19615173.64,1106.109483,200
triangular,3072,3.611,energy,-19608505.54,1147.176925,200
triangular,3072,3.6115,energy,-19596719.02,1190.44874,200
triangular,3072,3.612,energy,-19586429,1099.865147,200
triangular,3072,3.6125,energy,-19577081.1,1214.629301,200
triangular,3072,3.613,energy,-19566922,1127.892317,200
triangular,3072,3.6135,energy,-19556984.88,1095.200122,200
triangular,3072,3.614,energy,-19544952.3,1180.730026,200
triangular,3072,3.6145,energy,-19535701.54,1211.570994,200
triangular,3072,3.615,energy,-19527116.14,1187.269239,200
triangular,3072,3.6155,energy,-19516608.62,1112.268001,200
triangular,3072,3.616,energy,-19505479.4,1189.023059,200
triangular,3072,3.6165,energy,-19496458.92,1162.726993,200
triangular,3072,3.617,energy,-19484961.36,1191.181413,200
triangular,3072,3.6175,energy,-19473815.6,1185.763826,200
triangular,3072,3.618,energy,-19464035.24,1157.918412,200
triangular,3072,3.6185,energy,-19453100.78,1120.737564,200
triangular,3072,3.619,energy,-19445825.78,1241.826956,200
triangular,3072,3.6195,energy,-19432521.46,1150.180594,200
triangular,3072,3.62,energy,-19422589.92,1208.832681,200
triangular,3072,3.6205,energy,-19412575.92,1127.65254,200
triangular,3072,3.621,energy,-19400097.28,1162.65153,200
triangular,3072,3.6215,energy,-19391068.28,1108.397966,200
triangular,3072,3.622,energy,-19379762.5,1049.423646,200
triangular,3072,3.6225,energy,-19368351.72,1229.888973,200
triangular,3072,3.623,energy,-19355958.12,1221.786061,200
triangular,3072,3.6235,energy,-19346462.2,1099.334129,200
triangular,3072,3.624,energy,-19334603.56,1203.953123,200
triangular,3072,3.6245,energy,-19322213.54,1245.338312,200
triangular,3072,3.625,energy,-19313958.06,1292.10639,200
triangular,3072,3.6255,energy,-19299315.96,1197.667006,200
triangular,3072,3.626,energy,-19288543.52,1261.082086,200
triangular,3072,3.6265,energy,-19278209.96,1179.910902,200
