lattice_type,L,T,observable,mean,jackknife_se,n_samples
triangular,3072,3.59,abs_ec_sym,322810.78,62.37940744,200
triangular,3072,3.5905,abs_ec_sym,322752.5575,72.70445259,200
triangular,3072,3.591,abs_ec_sym,322577.9325,70.59249641,200
triangular,3072,3.5915,abs_ec_sym,322374.575,71.02564481,200
triangular,3072,3.592,abs_ec_sym,322088.6375,73.86119749,200
triangular,3072,3.5925,abs_ec_sym,321919.8875,71.28457439,200
triangular,3072,3.593,abs_ec_sym,321640.7075,77.93728153,200
triangular,3072,3.5935,abs_ec_sym,321422.135,73.52382888,200
triangular,3072,3.594,abs_ec_sym,321149.3725,76.63477323,200
triangular,3072,3.5945,abs_ec_sym,320807.7875,81.62989105,200
triangular,3072,3.595,abs_ec_sym,320532.77,77.12700335,200
triangular,3072,3.5955,abs_ec_sym,320337.7775,72.16000008,200
triangular,3072,3.596,abs_ec_sym,320180.9725,79.52716708,200
triangular,3072,3.5965,abs_ec_sym,319903.615,83.14172088,200
triangular,3072,3.597,abs_ec_sym,319517.4375,84.29583315,200
triangular,3072,3.5975,abs_ec_sym,319474.9975,81.10427872,200
triangular,3072,3.598,abs_ec_sym,318878.045,80.55807069,200
triangular,3072,3.5985,abs_ec_sym,318836.665,85.4458064,200
triangular,3072,3.599,abs_ec_sym,318521.685,86.28915973,200
triangular,3072,3.5995,abs_ec_sym,318286.9725,90.99412257,200
triangular,3072,3.6,abs_ec_sym,317922.5775,88.14975381,200
triangular,3072,3.6005,abs_ec_sym,317580.385,89.04478185,200
triangular,3072,3.601,abs_ec_sym,317150.61,90.07280718,200
triangular,3072,3.6015,abs_ec_sym,317016.575,90.6903856,200
triangular,3072,3.602,abs_ec_sym,316678.7475,84.94592131,200
triangular,3072,3.6025,abs_ec_sym,316339.11,90.98556861,200
triangular,3072,3.603,abs_ec_sym,316027.825,95.68054494,200
triangular,3072,3.6035,abs_ec_sym,315688.3175,84.04417159,200
triangular,3072,3.604,abs_ec_sym,315303.05,88.11321727,200
triangular,3072,3.6045,abs_ec_sym,314805.21,93.46987646,200
triangular,3072,3.605,abs_ec_sym,314595.37,92.80317485,200
triangular,3072,3.6055,abs_ec_sym,314204.8875,101.4756288,200
triangular,3072,3.606,abs_ec_sym,313740.105,106.7858709,200
triangular,3072,3.6065,abs_ec_sym,313275.265,103.9803041,200
triangular,3072,3.607,abs_ec_sym,313066.165,107.0355934,200
triangular,3072,3.6075,abs_ec_sym,312710.3975,98.13887211,200
triangular,3072,3.608,abs_ec_sym,312298.825,102.2553745,200
triangular,3072,3.6085,abs_ec_sym,311759.3825,110.0676786,200
triangular,3072,3.609,abs_ec_sym,311409.39,115.1069148,200
triangular,3072,3.6095,abs_ec_sym,310808.8575,102.0264107,200
triangular,3072,3.61,abs_ec_sym,310658.29,99.4598207,200
triangular,3072,3.6105,abs_ec_sym,309937.615,111.9193864,200
triangular,3072,3.611,abs_ec_sym,309890.795,115.0695385,200
triangular,3072,3.6115,abs_ec_sym,309179.985,117.8963428,200
triangular,3072,3.612,abs_ec_sym,308819.8025,113.904117,200
triangular,3072,3.6125,abs_ec_sym,308221.8225,121.862509,200
triangular,3072,3.613,abs_ec_sym,307750.9325,123.9549128,200
triangular,3072,3.6135,abs_ec_sym,307303.025,124.7596415,200
triangular,3072,3.614,abs_ec_sym,306529.0275,125.4457288,200
triangular,3072,3.6145,abs_ec_sym,306134.6975,129.7985172,200
triangular,3072,3.615,abs_ec_sym,305484.69,139.8337939,200
triangular,3072,3.6155,abs_ec_sym,304883.4775,130.8522375,200
triangular,3072,3.616,abs_ec_sym,304280.525,146.0863557,200
triangular,3072,3.6165,abs_ec_sym,304010.61,145.6945538,200
triangular,3072,3.617,abs_ec_sym,303323.9975,137.1746664,200
triangular,3072,3.6175,abs_ec_sym,302592.8625,154.9652426,200
triangular,3072,3.618,abs_ec_sym,301788.13,146.4503553,200
triangular,3072,3.6185,abs_ec_sym,301290.6825,143.0487992,200
triangular,3072,3.619,abs_ec_sym,300725.16,155.2779593,200
triangular,3072,3.6195,abs_ec_sym,299818.055,149.9900102,200
triangular,3072,3.62,abs_ec_sym,299079.5975,169.3207786,200
triangular,3072,3.6205,abs_ec_sym,298670.93,157.4614856,200
triangular,3072,3.621,abs_ec_sym,297834.5575,150.5271246,200
triangular,3072,3.6215,abs_ec_sym,297267.7475,166.5418799,200
triangular,3072,3.622,abs_ec_sym,296274.1425,157.8538793,200
triangular,3072,3.6225,abs_ec_sym,295412.6025,185.8827538,200
triangular,3072,3.623,abs_ec_sym,294562.3125,179.1519525,200
triangular,3072,3.6235,abs_ec_sym,293709.79,183.6811712,200
triangular,3072,3.624,abs_ec_sym,292618.09,189.323583,200
triangular,3072,3.6245,abs_ec_sym,291711.3975,191.409965,200
triangular,3072,3.625,abs_ec_sym,291026.74,204.4939459,200
triangular,3072,3.6255,abs_ec_sym,289716.455,203.3588578,200
triangular,3072,3.626,abs_ec_sym,289106.8,217.9475784,200
triangular,3072,3.6265,abs_ec_sym,287778.2925,215.5359159,200
triangular,3072,3.627,abs_ec_sym,286791.525,220.4199739,200
triangular,3072,3.6275,abs_ec_sym,285630.4775,247.6510608,200
triangular,3072,3.628,abs_ec_sym,284629.6775,249.3539579,200
triangular,3072,3.6285,abs_ec_sym,282912.9025,250.4951584,200
triangular,3072,3.629,abs_ec_sym,282095.565,272.1004708,200
triangular,3072,3.6295,abs_ec_sym,280321.4875,269.6995345,200
triangular,3072,3.63,abs_ec_sym,279139.555,269.0726054,200
triangular,3072,3.6305,abs_ec_sym,277555.91,277.1754522,200
triangular,3072,3.631,abs_ec_sym,275586.505,329.0164172,200
triangular,3072,3.6315,abs_ec_sym,274765.775,281.8469258,200
triangular,3072,3.632,abs_ec_sym,273635.38,319.2027403,200
triangular,3072,3.6325,abs_ec_sym,271263.96,387.9640627,200
triangular,3072,3.633,abs_ec_sym,269138.165,347.6557293,200
triangular,3072,3.6335,abs_ec_sym,267499.745,364.3766055,200
triangular,3072,3.634,abs_ec_sym,264252.5775,442.0584272,200
triangular,3072,3.6345,abs_ec_sym,262406.1775,409.4809206,200
triangular,3072,3.635,abs_ec_sym,260305.1125,509.0740241,200
triangular,3072,3.6355,abs_ec_sym,257681.37,500.3697809,200
triangular,3072,3.636,abs_ec_sym,253960.385,625.3485427,200
triangular,3072,3.6365,abs_ec_sym,251762.515,528.846825,200
triangular,3072,3.637,abs_ec_sym,248497.0775,679.9992765,200
triangular,3072,3.6375,abs_ec_sym,244106.3925,635.6804142,200
triangular,3072,3.638,abs_ec_sym,238727.9975,838.7335668,200
triangular,3072,3.6385,abs_ec_sym,232368.14,1042.255082,200
triangular,3072,3.639,abs_ec_sym,228458.95,1186.47404,200
triangular,3072,3.6395,abs_ec_sym,218508.065,1801.509624,200
triangular,3072,3.64,abs_ec_sym,211306.87,1847.785461,200
triangular,3072,3.6405,abs_ec_sym,194950.4575,2926.703684,200
triangular,3072,3.641,abs_ec_sym,176061.875,3167.343415,200
triangular,3072,3.6415,abs_ec_sym,153805.9075,3591.111104,200
triangular,3072,3.642,abs_ec_sym,128806.2125,3945.686684,200
triangular,3072,3.6425,abs_ec_sym,99628.95,3910.848321,200
triangular,3072,3.643,abs_ec_sym,83676.37,3489.994621,200
triangular,3072,3.6435,abs_ec_sym,74763.4525,3326.409827,200
triangular,3072,3.644,abs_ec_sym,61020.885,2871.617498,200
triangular,3072,3.6445,abs_ec_sym,59089.1325,2925.607392,200
triangular,3072,3.645,abs_ec_sym,45631.785,2470.11113,200
triangular,3072,3.6455,abs_ec_sym,42146.6125,1918.151941,200
triangular,3072,3.646,abs_ec_sym,40113.185,1969.362936,200
triangular,3072,3.6465,abs_ec_sym,33332.2825,1776.307918,200
triangular,3072,3.647,abs_ec_sym,35056.8625,1765.110989,200
triangular,3072,3.6475,abs_ec_sym,29760.5925,1646.579066,200
triangular,3072,3.648,abs_ec_sym,29515.6825,1519.24804,200
triangular,3072,3.6485,abs_ec_sym,28878.21,1571.366856,200
triangular,3072,3.649,abs_ec_sym,24992.175,1292.393547,200
triangular,3072,3.6495,abs_ec_sym,25625.8525,1434.665966,200
triangular,3072,3.65,abs_ec_sym,23489.5475,1333.916346,200
triangular,3072,3.6505,abs_ec_sym,22061.4425,1198.017166,200
triangular,3072,3.651,abs_ec_sym,22006.0225,1135.233795,200
triangular,3072,3.6515,abs_ec_sym,19169.61,1041.087146,200
triangular,3072,3.652,abs_ec_sym,17512.16,937.3991621,200
triangular,3072,3.6525,abs_ec_sym,18823.09,1030.71213,200
triangular,3072,3.653,abs_ec_sym,16798.475,998.4559144,200
triangular,3072,3.6535,abs_ec_sym,16322.6825,813.1196448,200
triangular,3072,3.654,abs_ec_sym,17304.9375,937.7814916,200
triangular,3072,3.6545,abs_ec_sym,17861.955,915.8471666,200
triangular,3072,3.655,abs_ec_sym,17578.105,923.015905,200
triangular,3072,3.6555,abs_ec_sym,14944.16,825.530148,200
triangular,3072,3.656,abs_ec_sym,16428.6625,812.8118971,200
triangular,3072,3.6565,abs_ec_sym,14204.15,770.2022045,200
triangular,3072,3.657,abs_ec_sym,15167.1475,752.8990083,200
