lattice_type,L,T,observable,mean,jackknife_se,n_samples
triangular,3072,3.59,abs_magnetization,6640286.08,1285.453139,200
triangular,3072,3.5905,abs_magnetization,6636061.69,1343.513733,200
triangular,3072,3.591,abs_magnetization,6628550.64,1384.846517,200
triangular,3072,3.5915,abs_magnetization,6620624.76,1363.158738,200
triangular,3072,3.592,abs_magnetization,6611572.03,1378.94116,200
triangular,3072,3.5925,abs_magnetization,6602882.81,1448.735308,200
triangular,3072,3.593,abs_magnetization,6594991.05,1474.867565,200
triangular,3072,3.5935,abs_magnetization,6586181.25,1434.380228,200
triangular,3072,3.594,abs_magnetization,6576389.72,1457.744461,200
triangular,3072,3.5945,abs_magnetization,6565834.4,1500.387444,200
triangular,3072,3.595,abs_magnetization,6558476.6,1506.938681,200
triangular,3072,3.5955,abs_magnetization,6548453.71,1398.107735,200
triangular,3072,3.596,abs_magnetization,6540867.43,1500.305856,200
triangular,3072,3.5965,abs_magnetization,6532787.43,1543.021344,200
triangular,3072,3.597,abs_magnetization,6523111.11,1639.96853,200
triangular,3072,3.5975,abs_magnetization,6517421.96,1534.752604,200
triangular,3072,3.598,abs_magnetization,6502260.36,1640.659703,200
triangular,3072,3.5985,abs_magnetization,6496437.76,1722.34382,200
triangular,3072,3.599,abs_magnetization,6486540.82,1656.71831,200
triangular,3072,3.5995,abs_magnetization,6478069.11,1769.214111,200
triangular,3072,3.6,abs_magnetization,6467265.71,1747.486877,200
triangular,3072,3.6005,abs_magnetization,6457868.68,1792.763989,200
triangular,3072,3.601,abs_magnetization,6444632.55,1681.858177,200
triangular,3072,3.6015,abs_magnetization,6438876.08,1731.535186,200
triangular,3072,3.602,abs_magnetization,6427574.29,1743.238631,200
triangular,3072,3.6025,abs_magnetization,6417665.25,1773.360308,200
triangular,3072,3.603,abs_magnetization,6407279.59,1832.678539,200
triangular,3072,3.6035,abs_magnetization,6396718.24,1616.098652,200
triangular,3072,3.604,abs_magnetization,6385749.12,1769.3932,200
triangular,3072,3.6045,abs_magnetization,6372917.03,1893.676706,200
triangular,3072,3.605,abs_magnetization,6365065.03,1887.64145,200
triangular,3072,3.6055,abs_magnetization,6352552.76,2005.527154,200
triangular,3072,3.606,abs_magnetization,6340570.63,2068.742144,200
triangular,3072,3.6065,abs_magnetization,6326692.28,2084.908209,200
triangular,3072,3.607,abs_magnetization,6319270.3,2098.01109,200
triangular,3072,3.6075,abs_magnetization,6309310.43,1847.55888,200
triangular,3072,3.608,abs_magnetization,6296168.2,2067.037352,200
triangular,3072,3.6085,abs_magnetization,6282289.61,2261.65522,200
triangular,3072,3.609,abs_magnetization,6270728.45,2315.927263,200
triangular,3072,3.6095,abs_magnetization,6256815.41,1999.279833,200
triangular,3072,3.61,abs_magnetization,6249301.74,2027.762367,200
triangular,3072,3.6105,abs_magnetization,6231737.36,2192.091919,200
triangular,3072,3.611,abs_magnetization,6227009.76,2209.755622,200
triangular,3072,3.6115,abs_magnetization,6209878.55,2300.84779,200
triangular,3072,3.612,abs_magnetization,6198574.97,2254.912084,200
triangular,3072,3.6125,abs_magnetization,6182509.69,2426.882705,200
triangular,3072,3.613,abs_magnetization,6170409.69,2446.221205,200
triangular,3072,3.6135,abs_magnetization,6158467.31,2406.771399,200
triangular,3072,3.614,abs_magnetization,6139493.17,2476.059406,200
triangular,3072,3.6145,abs_magnetization,6127674.85,2576.352982,200
triangular,3072,3.615,abs_magnetization,6111536.26,2665.400118,200
triangular,3072,3.6155,abs_magnetization,6095852.93,2569.323577,200
triangular,3072,3.616,abs_magnetization,6080456.59,2740.070436,200
triangular,3072,3.6165,abs_magnetization,6072334.39,2818.737796,200
triangular,3072,3.617,abs_magnetization,6054603.73,2733.731345,200
triangular,3072,3.6175,abs_magnetization,6036641.72,3099.827179,200
triangular,3072,3.618,abs_magnetization,6018283.39,2961.960846,200
triangular,3072,3.6185,abs_magnetization,6004340.59,2818.672419,200
triangular,3072,3.619,abs_magnetization,5990799.42,3111.26029,200
triangular,3072,3.6195,abs_magnetization,5968037.64,2907.799875,200
triangular,3072,3.62,abs_magnetization,5951121.31,3379.404721,200
triangular,3072,3.6205,abs_magnetization,5939278.19,3031.256568,200
triangular,3072,3.621,abs_magnetization,5917991.94,2978.422806,200
triangular,3072,3.6215,abs_magnetization,5904513.21,3275.870865,200
triangular,3072,3.622,abs_magnetization,5881770.3,3110.482107,200
triangular,3072,3.6225,abs_magnetization,5861962.56,3661.498586,200
triangular,3072,3.623,abs_magnetization,5840011,3505.126704,200
triangular,3072,3.6235,abs_magnetization,5821638.47,3625.275432,200
triangular,3072,3.624,abs_magnetization,5795365.39,3787.318238,200
triangular,3072,3.6245,abs_magnetization,5775169.92,3748.792362,200
triangular,3072,3.625,abs_magnetization,5758500,3992.122473,200
triangular,3072,3.6255,abs_magnetization,5728600.75,4019.116143,200
triangular,3072,3.626,abs_magnetization,5713438.05,4317.64563,200
triangular,3072,3.6265,abs_magnetization,5685055.08,4225.500989,200
triangular,3072,3.627,abs_magnetization,5660969.87,4349.166339,200
triangular,3072,3.6275,abs_magnetization,5635775.73,4832.613471,200
triangular,3072,3.628,abs_magnetization,5610443.84,4886.758,200
triangular,3072,3.6285,abs_magnetization,5575951.64,4874.052905,200
triangular,3072,3.629,abs_magnetization,5556687.83,5340.206866,200
triangular,3072,3.6295,abs_magnetization,5516582.84,5279.338119,200
triangular,3072,3.63,abs_magnetization,5492532.04,5285.642494,200
